T	H2O_370	H2O_470	H2O_63	H2O_des	H2O_ads	NH3_33	NH3_30	NH3_46	NH3_ads	CH3OH_309	CH3OH_46	CH3OH_375	CH3OH_ads	H2O_qrrho_370	H2O_qrrho_470	H2O_qrrho_63	H2O_qrrho_des	H2O_qrrho_ads	NH3_qrrho_33	NH3_qrrho_30	NH3_qrrho_46	NH3_qrrho_ads	CH3OH_qrrho_309	CH3OH_qrrho_46	CH3OH_qrrho_375	CH3OH_qrrho_ads	H2O_diff_370	H2O_diff_470	H2O_diff_63	H2O_diff_des	H2O_diff_ads	NH3_diff_33	NH3_diff_30	NH3_diff_46	NH3_diff_ads	CH3OH_diff_309	CH3OH_diff_46	CH3OH_diff_375	CH3OH_diff_ads
0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1.0	0.0332578484	0.0332578484	0.0332578484	0.0332578484	0.0332578484	0.033257848399999984	0.03325784839638921	0.03325784839999996	0.033257848399998846	0.0332578484	0.0332578484	0.0332578484	0.0332578484	0.0281449165010559	0.02876306276068826	0.03392787942645346	0.03396992686240441	0.02924091676760436	0.022666564801669384	0.026398523666363947	0.0276520381799728	0.028359774319092187	0.02908126219006494	0.024829106235029326	0.0255460887491829	0.022786385127697414	-0.005112931898944097	-0.004494785639311737	0.000670031026453459	0.0007120784624044113	-0.004016931632395637	-0.0105912835983306	-0.006859324730025266	-0.005605810220027162	-0.004898074080906659	-0.004176586209935058	-0.008428742164970672	-0.007711759650817097	-0.010471463272302584
2.0	0.0665156968	0.0665156968	0.0665156968	0.06651569670584281	0.06651569673251516	0.0665156947378118	0.06651483445010772	0.06651569344176454	0.06651567908304949	0.0665156968	0.0665156968	0.0665156968	0.06651569581745412	0.0562898330021118	0.05752612552137652	0.06785575885290691	0.06793985372402503	0.05848183353478381	0.045333129593660926	0.052797046575736986	0.05530407634588963	0.05671954858914144	0.05816252438012988	0.04965821247005865	0.0510921774983658	0.045572770250263656	-0.010225863797888195	-0.008989571278623473	0.001340062052906918	0.001424157018182215	-0.008033863197731347	-0.021182565144150872	-0.013717787874370738	-0.011211617095874912	-0.009796130493908053	-0.008353172419870117	-0.016857484329941344	-0.015423519301634193	-0.020942925567190462
3.0	0.09977354519994941	0.09977354519999983	0.09977354520000001	0.09977341715008661	0.0997734849327586	0.09977243401779884	0.09971992540586815	0.09977204467477552	0.09976922677712197	0.09977354520000001	0.0997735451999998	0.09977354520000001	0.09977292893766285	0.08443474950316088	0.08628918828206472	0.10178363827936039	0.10190977962797035	0.0877227498598995	0.06799968905874769	0.0791955230434647	0.08295610837641021	0.08507931139978195	0.08724378657019483	0.07448731870508796	0.07663826624754873	0.06835915225243835	-0.015338795696788532	-0.013484356917935106	0.002010093079360384	0.0021363624778837353	-0.0120507350728591	-0.03177274495905115	-0.02052440236240345	-0.016815936298365308	-0.014689915377340018	-0.012529758629805182	-0.025286226494911843	-0.02313527895245128	-0.03141377668522449
4.0	0.13303139350634727	0.1330313935984642	0.13303139360002034	0.13302705389410652	0.13302931160922388	0.13300508420451207	0.13260462167585102	0.13300013866795737	0.1329652061547901	0.1330313936	0.13303139359845584	0.13303139359994726	0.1330161774466186	0.1125796659918288	0.11505225104237449	0.1357115177058214	0.13587967937792716	0.11696364704496348	0.09066612474009597	0.10559368421163098	0.11060803201659304	0.11343892561477942	0.11632504876025974	0.09931642493976237	0.10218435499671347	0.09114546177093635	-0.020451727514518472	-0.017979142556089706	0.0026801241058010683	0.0028526254838206477	-0.016065664564260396	-0.0423389594644161	-0.027010937464220036	-0.022392106651364332	-0.019526280540010682	-0.016706344839740248	-0.03371496865869347	-0.03084703860323379	-0.041870715675682235
5.0	0.16628923366548728	0.1662892416430911	0.1662892420111919	0.16625536526709683	0.16626962660878997	0.1661096462217484	0.16478374429090897	0.16609968931489372	0.16595175934731876	0.16628924199996886	0.1662892416874967	0.16628924197592662	0.16618438251759918	0.14072458142424615	0.14381531371441922	0.16963939713642473	0.1698494541395823	0.1462043672643385	0.11333182862243635	0.13199100053903365	0.13825953579647654	0.14179800922776276	0.14540631095030643	0.12414553110402654	0.1277304437376138	0.11393135015075884	-0.02556465224124113	-0.022473927928671894	0.0033501551252328177	0.003594088872485468	-0.02006525934445147	-0.05277781759931205	-0.032792743751875325	-0.027840153518417177	-0.024153750119556006	-0.020882931049662434	-0.04214371058347016	-0.03855879823831282	-0.05225303236684034
6.0	0.19954692663811377	0.19954707669397445	0.19954709114775088	0.19941940426616847	0.19945517478757394	0.1988883729335394	0.19599645371103627	0.19892803459373407	0.19854913756100642	0.19954709039412094	0.19954707968936847	0.19954708896342563	0.19916260574471328	0.1688694780433967	0.17257837309333024	0.2035672768353809	0.20381904323080308	0.17544444978965107	0.13599542013618834	0.15838693940692597	0.16591038232576516	0.17015610623716076	0.17448757313693064	0.1489746349668341	0.15327653199693803	0.1367160220112043	-0.030677448594717077	-0.02696870360064421	0.004020185687630018	0.004399638964634606	-0.024010724997922867	-0.06289295279735105	-0.0376095143041103	-0.033017652267968906	-0.028393031323845658	-0.0250595172571903	-0.05057244472253436	-0.0462705569664876	-0.062446583733508976
7.0	0.23280357273585398	0.23280475070887297	0.23280495374762658	0.2324861053440896	0.23252351873399768	0.23111299427349555	0.2261497122387393	0.23138334915329165	0.23063626757126024	0.2328049385496124	0.232804804236839	0.23280491192494235	0.23181966222592926	0.19701424108706356	0.20134139091502118	0.23749516148309158	0.2377886632523725	0.2046832300180447	0.1586549525413545	0.18478143039899733	0.19356062721211276	0.19851289009449138	0.2035688351826086	0.17380371244099183	0.1788226118430903	0.15949826460027774	-0.03578933164879042	-0.031463359793851786	0.004690207735464996	0.005302557908282907	-0.027840288715952982	-0.07245804173214104	-0.04136828183974198	-0.03782272194117889	-0.032123377476768855	-0.029236103367003802	-0.05900109179584717	-0.053982300081852036	-0.07232139762565151
8.0	0.26605608392238606	0.26606143235104285	0.2660629276377769	0.26544572982299464	0.2654087622264871	0.26258963012385667	0.25527164420066767	0.2634354100077353	0.2621680093743768	0.2660627829920414	0.2660618778175465	0.2660625432910158	0.26404338611570877	0.2251584684720896	0.23010414794102543	0.2714230866765011	0.271758970430687	0.2339200365616384	0.18130839728471404	0.21117522534332756	0.22121029895833746	0.22686813429340447	0.23265009502487421	0.19863263286509664	0.2043686236860958	0.1822765343358661	-0.040897615450296465	-0.035957284410017415	0.0053601590387242215	0.006313240607692339	-0.03148872566484873	-0.08128123283914263	-0.044096418857340114	-0.04222511104939783	-0.03529987508097232	-0.033412687967167176	-0.06742924495244984	-0.06169391960492002	-0.08176685177984266
9.0	0.29929746745068503	0.2993142965111294	0.29932143292796143	0.2983119877611024	0.2980590648255144	0.2931882474368547	0.283461754415395	0.2951054269670723	0.2931537060135452	0.2993205975409254	0.2993165546953555	0.299319267691056	0.29575450599287134	0.2533012058578233	0.25886588537952365	0.3053512032954271	0.30573112502435607	0.26315415495239813	0.2039540444452183	0.23756993240342789	0.2488589824120925	0.2552215063876073	0.26173133702460105	0.2234609450154896	0.22991430803459809	0.20504898051038345	-0.04599626159286174	-0.040448411131605744	0.006029770367465659	0.007419137263253661	-0.034904909873116285	-0.08923420299163637	-0.04589182201196712	-0.04624644455497981	-0.03793219962593786	-0.03758926051632433	-0.0758556096798659	-0.0694049596564579	-0.09070552548248789
