T	4RT	NH3_33_c	NH3_33_s	NH3_33_m	NH3_33_s_c	NH3_33_s/c	NH3_33
10.0	0.332578484	0.010076024064596338	0.0003409580364044232	2.3325925804903116e-64	-0.009735066028191915	0.03383854923515236	0.3228434179718081
20.0	0.665156968	0.12508350265781729	0.034064061648458294	5.376256545393413e-32	-0.09101944100935899	0.27233057057608234	0.574137526990641
30.0	0.997735452	0.4312751182550669	0.20617075184705635	3.2963021655358317e-21	-0.22510436640801057	0.47804926164351963	0.7726310855919895
40.0	1.330313936	0.9776161776770437	0.5834049031662016	8.162074076168709e-16	-0.39421127451084204	0.5967627341769808	0.9361026614891588
50.0	1.6628924200000001	1.7829603035377564	1.1887938810945127	1.4062569338926784e-12	-0.5941664224432437	0.6667528596882968	1.0687259975581627
60.0	1.995470904	2.84812261867013	2.0259031976225756	2.021039058226113e-10	-0.8222194210475542	0.7113117898584465	1.17325148315455
70.0	2.328049388	4.163672741933439	3.088048487579916	7.025180179323007e-09	-1.075624254353523	0.7416645541037293	1.2524251406716571
80.0	2.660627872	5.715325264498595	4.363438969134332	1.0057403581836655e-07	-1.3518862953642623	0.7634629294396137	1.308741677209774
90.0	2.9932063560000004	7.487555870305467	5.838733777886999	7.970900246751049e-07	-1.6488220924184684	0.7797916808931669	1.344385060671557
100.0	3.3257848400000003	9.465621365451113	7.501129901091556	4.176527546561219e-06	-1.9644914643595577	0.7924603796714477	1.3612975521679895
110.0	3.658363324	11.636423790678766	9.339286296440783	1.619931623400364e-05	-2.297137494237983	0.8025907670982144	1.3612420290782503
120.0	3.990941808	13.988684767708229	11.343523973358728	5.0153511207071526e-05	-2.6451607943495006	0.810907112550306	1.3458311671617067
130.0	4.323520292	16.51277675792764	13.505663046826388	0.00013059380610723148	-3.007113711101251	0.8178916995497101	1.3165371747048562
140.0	4.656098776	19.20042523328747	15.81872595600048	0.0002968817632313578	-3.381699277286989	0.8238737300763427	1.274696380476243
150.0	4.98867726	22.044397053735246	18.276629584237046	0.0006056033980535341	-3.7677674694981995	0.8290827614693239	1.2215153938998542
160.0	5.321255744	25.038228358227755	20.873921217652622	0.001131531337058494	-4.164307140575133	0.8336820368839432	1.158080134761926
170.0	5.653834228	28.17601019470431	23.60557553374502	0.001967179943973432	-4.57043466095929	0.8377898563573666	1.0853667469846853
180.0	5.986412712000001	31.452232031404456	26.46685108530505	0.0032212447570415218	-4.985380946099408	0.8414935721852236	1.004253010657636
190.0	6.318991196	34.861675136439125	29.453196851380696	0.005016306196500531	-5.408478285058429	0.8448589098518325	0.9155292171380731
200.0	6.651569680000001	38.399345131150426	32.560197253056735	0.0074861555073354145	-5.839147878093691	0.8479362640651692	0.8199079574136467
210.0	6.9841481640000005	42.06043316430299	35.783544630615076	0.010773023705515807	-6.2768885336879165	0.8507650049829929	0.7180326540176019
220.0	7.316726648	45.840296588961564	39.1190299315492	0.015024904406789061	-6.7212666574123645	0.8533764578863816	0.6104848949944222
230.0	7.649305132	49.734451896562646	42.562544414797095	0.020393082808819987	-7.171907481765551	0.8557959883285406	0.4977907330432725
240.0	7.981883616	53.73857451916287	46.110087116734505	0.027029924814597598	-7.628487402428362	0.8580444779064974	0.3804261383862366
250.0	8.3144621	57.84850173453116	49.75777446983536	0.03508694234345718	-8.0907272646958	0.8601393809328989	0.258821777647654
260.0	8.647040584	62.06023622053915	53.50184976566481	0.044713129198946745	-8.558386454874345	0.8620954901869693	0.1333672583246024
270.0	8.979619068	66.36994880193329	57.338691126205006	0.05605355141164105	-9.031257675728284	0.86392549883261	0.004414943683359596
280.0	9.312197552	70.77397964867309	61.264817337292165	0.06924817232252628	-9.509162311380926	0.8656404181510625	-0.1277165870584014
290.0	9.644776036	75.26883767029167	65.2768913603488	0.08443089255094319	-9.991946309942875	0.8672498922633601	-0.26273938139193476
300.0	9.97735452	79.85119815692389	69.3717216273064	0.10172878628999939	-10.479476529617486	0.8687624384918661	-0.40039322332748917
