T	H2O_370	H2O_470	H2O_63	H2O_des	H2O_ads	NH3_33	NH3_30	NH3_46	NH3_ads	CH3OH_309	CH3OH_46	CH3OH_375	CH3OH_ads
0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
10.0	0.33257758453634606	0.33257558317942676	0.33257322791397387	0.33111390124580115	0.3304424374393665	0.3228434179718081	0.3108533685544336	0.3264357842723927	0.3236311876731125	0.33257826089526055	0.33256470978808894	0.33257300481030905	0.32690553283712004
20.0	0.6631917138112302	0.6629404682706944	0.6631532022051668	0.6619348085999672	0.6395902709942147	0.574137526990641	0.5646913380356886	0.6266996785938717	0.6094151420474856	0.664410578180523	0.6603896864959985	0.6616694152626703	0.6073317779187076
30.0	0.981541631028807	0.9758804904936628	0.9816264533099219	1.0021677450154836	0.9281913828640119	0.7726310855919895	0.8041172721793224	0.9042927628475151	0.8758599422235323	0.9849798636276347	0.9546631560594383	0.9618379492361914	0.8367779245594459
40.0	1.2807582531224504	1.2578749355334227	1.2800705192822106	1.3459257943435277	1.2017568269371577	0.9361026614891588	1.0234522728844742	1.1567244829439423	1.1291684561440969	1.273812821394083	1.1901087085682271	1.2065594601199072	1.0182828317760073
50.0	1.5590926827999951	1.5080558628890544	1.5571120920105488	1.6884519618839497	1.4603206512654767	1.0687259975581627	1.2201244481551423	1.38649828697165	1.3669192063138518	1.5187808335560948	1.3666448309485861	1.3933196772905938	1.1559072186804935
60.0	1.8164754858612442	1.7311346430859695	1.814053723149963	2.026687529125204	1.7015350314154156	1.17325148315455	1.396231078706591	1.596751599673466	1.5856570912499188	1.7186606342147832	1.49474081811046	1.5319766726970032	1.2558502191323775
70.0	2.0540452075075457	1.9324685258804284	2.0526537839758827	2.3578936252662483	1.9235817794063808	1.2524251406716571	1.55378057029526	1.7894182555669351	1.7834814008969992	1.8781863823249254	1.586144239808854	1.634023034169719	1.3248929404894412
80.0	2.2736911314568253	2.1161350519186293	2.2745187448803623	2.6798555134626687	2.1262062580678096	1.308741677209774	1.694207430869703	1.965780888889587	1.9601934015683922	2.0041041913808106	1.6512039953940134	1.709162414316708	1.3696742969582667
90.0	2.4774869347799164	2.284627643899912	2.4810169539549163	2.9912625729857205	2.3104419295485443	1.344385060671557	1.8188056770357393	2.1270150193114126	2.116792571126578	2.103029937259185	1.6981766563113199	1.7648608369577612	1.3962208105279363
100.0	2.6672992314808925	2.439205232026818	2.673295361406417	3.2917274861469	2.47799213304388	1.3612975521679895	1.9289144897503632	2.2743470504434247	2.254952763023144	2.180560352925523	1.7331882682856468	1.806644484671779	1.4096355809862717
110.0	2.844616835736178	2.580364592823368	2.85230255234435	3.5815448726872465	2.6307251640131537	1.3612420290782503	2.025883666812717	2.4090094011951035	2.376623256451794	2.2410775891300965	1.760501030002724	1.8385017513727875	1.4139751161111076
120.0	3.010532557265232	2.708226042009166	3.0188088514653413	3.8613873859074324	2.7703732706878106	1.3458311671617067	2.110983846975072	2.5321543582429533	2.4837619276113982	2.2878659510440773	1.7828977373743204	1.863244804653347	1.4122791457941601
130.0	3.1658010494093	2.822789150345624	3.1734285993326425	4.132054365260671	2.8983958063253565	1.3165371747048562	2.18534135841582	2.6447940346663	2.5781766938043758	2.323328640045393	1.8020681320154397	1.8828063002620716	1.4066921485545114
140.0	3.310921060057863	2.924077976519926	3.316646777008202	4.394306572339303	3.015946275306291	1.274696380476243	2.2499128347693347	2.7477776697985306	2.661446883411653	2.349205618475318	1.818940227431586	1.8984736308866168	1.3986239024463174
