T	46_TPD_HH	46_rate_HH	46_TPD_full	46_pre_full	46_rate_full	46_TPD_Tait	46_pre_Tait	46_rate_Tait
1.0	0.0	0.0	0.0	13437439399.914867	0.0	0.0	13437439399.91487	0.0
2.0	0.0	0.0	0.0	152027272343.40955	0.0	0.0	152027272343.40955	0.0
3.0	0.0	0.0	0.0	628406849635.5706	0.0	0.0	628406849635.5707	0.0
4.0	0.0	0.0	0.0	1719992243186.1023	0.0	0.0	1719992243189.1033	0.0
5.0	0.0	0.0	0.0	3755878491387.4087	0.0	0.0	3755878492717.955	0.0
6.0	2.1873657348539732e-301	8.749462939415892e-303	1.0321076748011132e-300	7109611829179.941	4.1284306992044525e-302	1.0321076873383865e-300	7109611915542.198	4.1284307493535464e-302
7.0	9.607675813685408e-257	3.8430703254741636e-258	7.77563106706513e-256	12194376302541.258	3.1102524268260517e-257	7.775632250193184e-256	12194378158018.787	3.1102529000772737e-257
8.0	2.915045196098352e-223	1.1660180784393408e-224	3.764731736487433e-222	19459470973490.63	1.5058926945949732e-223	3.764735583827836e-222	19459490859956.42	1.5058942335311346e-223
9.0	3.2080100553094495e-197	1.2832040221237798e-198	6.256864667622005e-196	29387546377463.645	2.502745867048802e-197	6.256893110128906e-196	29387679967613.832	2.5027572440515623e-197
10.0	2.1854563126168954e-176	8.741825250467582e-178	6.163249776765658e-175	42492269392962.984	2.465299910706263e-176	6.163343334694908e-175	42492914424217.195	2.465337333877963e-176
11.0	2.42684898917143e-159	9.707395956685721e-161	9.553741837462473e-158	59316160988864.234	3.821496734984989e-159	9.5541352086388e-158	59318603306065.23	3.82165408345552e-159
12.0	3.888160677862897e-145	1.5552642711451586e-146	2.075445337588784e-143	80428391377841.72	8.301781350355137e-145	2.0756436578150047e-143	80436076753353.05	8.302574631260019e-145
13.0	4.0671390377506246e-133	1.6268556151002498e-134	2.872629389313198e-131	106422355438226.66	1.1490517557252792e-132	2.8731942207137835e-131	106443280757830.84	1.1492776882855134e-132
14.0	8.16611067151822e-123	3.266444268607288e-124	7.474426140382874e-121	137912896611474.64	2.9897704561531497e-122	7.477176254915341e-121	137963639806211.25	2.9908705019661366e-122
15.0	6.940496429681956e-114	2.776198571872782e-115	8.085507168023057e-112	175533098148745.53	3.234202867209223e-113	8.090664150797314e-112	175645054163953.22	3.236265660318926e-113
16.0	4.518890946138942e-106	1.807556378455577e-107	6.595918122313613e-104	219930611683542.28	2.638367248925445e-105	6.60276790843922e-104	220159007128205.22	2.641107163375688e-105
17.0	3.5477488228603043e-99	1.4190995291441217e-100	6.398847626453735e-97	271763539864624.6	2.5595390505814937e-98	6.409118792647143e-97	272199763485846.44	2.563647517058857e-98
18.0	4.7796345746605705e-93	1.9118538298642283e-94	1.052186070844204e-90	331695928736865.4	4.208744283376816e-92	1.0546848162401784e-90	332483644615036.7	4.218739264960714e-92
19.0	1.4599625246828855e-87	5.839850098731542e-89	3.879590154116724e-85	400392954816989.75	1.5518360616466895e-86	3.892723378408595e-85	401748368732275.8	1.5570893513634379e-86
20.0	1.2635211932115972e-82	5.054084772846389e-84	4.012699397932342e-80	478515910873393.2	1.6050797591729368e-81	4.031454359339506e-80	480752447067898.25	1.6125817437358023e-81
21.0	3.710805513248826e-78	1.4843222052995304e-79	1.3957004753322457e-75	566717103836146.5	5.5828019013289834e-77	1.404461881696385e-75	570274628482711.1	5.6178475267855395e-77
22.0	4.286474329692052e-74	1.7145897318768209e-75	1.893624858059023e-71	665634779283287.8	7.574499432236093e-73	1.909210622044182e-71	671113386371735.4	7.636842488176729e-73
23.0	2.2000199098691552e-70	8.800079639476621e-72	1.1328788287469496e-67	775888181198068.2	4.5315153149877984e-69	1.1448491579289818e-67	784086442743534.6	4.579396631715927e-69
24.0	5.5534661369670214e-67	2.2213864547868085e-68	3.310041249736421e-64	898072844916457.1	1.3240164998945683e-65	3.354113123382747e-64	910030325189401.4	1.3416452493530988e-65
25.0	7.508682313694276e-64	3.0034729254777108e-65	5.146586270046121e-61	1032756207070243.0	2.0586345080184484e-62	5.231521232238383e-61	1049799953118349.0	2.0926084928953533e-62
26.0	5.8447889967261224e-61	2.337915598690449e-62	4.579128485755772e-58	1180473600382376.8	1.8316513943023089e-59	4.6714293712769585e-58	1204268250169691.8	1.8685717485107834e-59
27.0	2.785300555374203e-58	1.1141202221496813e-59	2.4802370387567634e-55	1341724684643841.5	9.920948155027054e-57	2.5405015963901416e-55	1374325780152993.2	1.0162006385560567e-56
28.0	8.5653622157728e-56	3.42614488630912e-57	8.623439852533211e-53	1516970349080090.0	3.4493759410132846e-54	8.873052984197441e-53	1560880404226404.8	3.5492211936789765e-54
29.0	1.778691807114214e-53	7.114767228456856e-55	2.0146417070829407e-50	1706630106316957.2	8.058566828331762e-52	2.0833773060144274e-50	1764856957324650.5	8.33350922405771e-52
30.0	2.5942605416991148e-51	1.0377042166796459e-52	3.2904111436936215e-48	1911079984755635.0	1.3161644574774486e-49	3.421465880630681e-48	1987196942099355.5	1.3685863522522724e-49
31.0	2.7501221911974416e-49	1.1000488764789766e-50	3.8888572755923034e-46	2130650914630827.0	1.5555429102369215e-47	4.068104971528525e-46	2228858238846347.5	1.6272419886114102e-47
32.0	2.183333408536553e-47	8.733333634146212e-49	3.427868480487385e-44	2365627593455392.5	1.371147392194954e-45	3.609268707536173e-44	2490814830074422.0	1.4437074830144692e-45
33.0	1.3327272248171214e-45	5.330908899268486e-47	2.3140772902821756e-42	2616247808921175.5	9.256309161128703e-44	2.4536594797581453e-42	2774056538523459.0	9.814637919032581e-44
34.0	6.401640406900881e-44	2.5606561627603525e-45	1.2247537185190534e-40	2882702191512353.0	4.899014874076214e-42	1.308403558975139e-40	3079588777571463.0	5.2336142359005564e-42
35.0	2.4699653835577903e-42	9.879861534231161e-44	5.188486977725756e-39	3165134364919114.0	2.0753947910903023e-40	5.5873162501099025e-39	3408432313083584.0	2.234926500043961e-40
36.0	7.795908597661768e-41	3.118363439064707e-42	1.7920799514204037e-37	3463641459609949.0	7.168319805681615e-39	1.9462549186933653e-37	3761623035854570.5	7.785019674773461e-39
37.0	2.045908342970773e-39	8.183633371883092e-41	5.130237203829539e-36	3778274953412513.5	2.0520948815318155e-37	5.621684123599704e-36	4140211743881635.0	2.2486736494398816e-37
38.0	4.5297103523998734e-38	1.8118841409599494e-39	1.235289372313504e-34	4109041802453434.5	4.941157489254016e-36	1.3664295720733187e-34	4545263933779612.0	5.4657182882932754e-36
39.0	8.572168087809603e-37	3.428867235123842e-38	2.535037540885221e-33	4455905826116692.0	1.0140150163540884e-34	2.8319855610745605e-33	4977859600715806.0	1.1327942244298242e-34
40.0	1.4029735474268643e-35	5.611894189707457e-37	4.4868870195251154e-32	4818789310619695.0	1.7947548078100462e-33	5.064466282775387e-32	5439093046299801.0	2.0257865131101545e-33
41.0	2.007013902769822e-34	8.028055611079288e-36	6.923231309965219e-31	5197574797220268.0	2.769292523986088e-32	7.898927200977614e-31	5930072693914531.0	3.1595708803910453e-32
42.0	2.5337132855532784e-33	1.0134853142213114e-34	9.403524409612909e-30	5592107022823484.0	3.7614097638451637e-31	1.0849362418861154e-29	6451920911020224.0	4.339744967544462e-31
43.0	2.847388064975056e-32	1.1389552259900225e-33	1.1342648477008243e-28	6002194982745698.0	4.537059390803297e-30	1.3239161703730395e-28	7005773838003057.0	5.295664681492158e-30
