T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
1.0	0.0	0.0	0.0	13437439399.914867	0.0	0.0	13437439399.91487	0.0
2.0	0.0	0.0	0.0	152027271880.65106	0.0	0.0	152027272343.40955	0.0
3.0	0.0	0.0	0.0	628405641305.9518	0.0	0.0	628406849635.5707	0.0
4.0	0.0	0.0	0.0	1719910444337.9534	0.0	0.0	1719992243189.1033	0.0
5.0	0.0	0.0	0.0	3754652265429.7344	0.0	0.0	3755878492717.955	0.0
6.0	0.0	0.0	0.0	7101168960722.602	0.0	0.0	7109611915542.198	0.0
7.0	0.0	0.0	0.0	12157675432964.434	0.0	0.0	12194378158018.787	0.0
8.0	0.0	0.0	0.0	19341033071148.42	0.0	0.0	19459490859956.42	0.0
9.0	0.0	0.0	0.0	29076500088496.684	0.0	0.0	29387679967613.832	0.0
10.0	1.0048437816522502e-302	4.019375126609001e-304	2.1536138496760607e-301	41788956014834.24	8.614455398704243e-303	2.189892683239285e-301	42492914424217.195	8.75957073295714e-303
11.0	3.5946461327005074e-274	1.437858453080203e-275	1.0673600634506444e-272	57895797541481.8	4.2694402538025773e-274	1.093590741939452e-272	59318603306065.23	4.374362967757808e-274
12.0	2.2534526821271947e-250	9.013810728508779e-252	8.991738037346407e-249	77801404661114.7	3.596695214938563e-250	9.29623486964531e-249	80436076753353.05	3.718493947858124e-250
13.0	3.099399641070157e-230	1.2397598564280629e-231	1.6196809662744918e-228	101892949884728.03	6.478723865097967e-230	1.6920126076074166e-228	106443280757830.84	6.768050430429667e-230
14.0	5.687521202413903e-213	2.2750084809655613e-214	3.807723435236306e-211	130537293406117.47	1.5230893740945223e-212	4.02434714856737e-211	137963639806211.25	1.609738859426948e-212
15.0	5.232318584707399e-198	2.09292743388296e-199	4.403056025575023e-196	164078723102508.47	1.761222410230009e-197	4.713438765706862e-196	175645054163953.22	1.8853755062827447e-197
16.0	6.51286317891308e-185	2.605145271565232e-186	6.775285705556318e-183	202837334272404.8	2.7101142822225275e-184	7.3538738777841066e-183	220159007128205.22	2.9415495511136426e-184
17.0	2.343613927111231e-173	9.374455708444925e-175	2.9701640786844354e-171	247107886741989.22	1.1880656314737742e-172	3.2717610530019624e-171	272199763485846.44	1.308704421200785e-172
18.0	4.400459763010215e-163	1.760183905204086e-164	6.706481557250874e-161	297159018890423.5	2.6825926229003494e-162	7.503711107353359e-161	332483644615036.7	3.0014844429413433e-162
19.0	6.87199999633728e-154	2.748799998534912e-155	1.2449498549578204e-151	353232734828264.4	4.979799419831282e-153	1.4159406081827473e-151	401748368732275.8	5.663762432730989e-153
20.0	1.296065253884649e-145	5.184261015538596e-147	2.762178646282044e-143	415544110202069.1	1.1048714585128175e-144	3.1956273975175573e-143	480752447067898.25	1.278250959007023e-144
21.0	3.9926836718382024e-138	1.597073468735281e-139	9.91677051486956e-136	484281183384014.9	3.966708205947824e-137	1.1677683988459113e-135	570274628482711.1	4.671073595383645e-137
22.0	2.5721349634059493e-131	1.0288539853623797e-132	7.382154217113693e-129	559605012806800.7	2.952861686845477e-130	8.853141773188472e-129	671113386371735.4	3.541256709275389e-130
23.0	4.249642171903187e-125	1.699856868761275e-126	1.3984864131236137e-122	641649889245440.2	5.593945652494454e-124	1.708929207765856e-122	784086442743534.6	6.835716831063424e-124
24.0	2.1345600557829373e-119	8.53824022313175e-121	7.997430049386915e-117	730523695475579.0	3.198972019754766e-118	9.962584257838576e-117	910030325189401.4	3.9850337031354305e-118
25.0	3.760206861427326e-114	1.5040827445709305e-115	1.5935352442230134e-111	826308406426381.5	6.374140976892054e-113	2.0245385520312988e-111	1049799953118349.0	8.098154208125195e-113
26.0	2.6216020140114816e-109	1.0486408056045927e-110	1.249161602977001e-106	929060721931416.2	4.9966464119080045e-108	1.6191898142771022e-106	1204268250169691.8	6.476759257108409e-108
27.0	8.018616160212333e-105	3.2074464640849333e-106	4.272130309021846e-102	1038812822402243.8	1.7088521236087385e-103	5.651931409822589e-102	1374325780152993.2	2.260772563929036e-103
28.0	1.1752926359175694e-100	4.701170543670278e-102	6.96548328186172e-98	1155573235854733.8	2.786193312744688e-99	9.408565397054014e-98	1560880404226404.8	3.763426158821606e-99
29.0	8.907474188451967e-97	3.562989675380787e-98	5.844457104507159e-94	1279327803106543.2	2.3377828418028638e-95	8.062539372339376e-94	1764856957324650.5	3.22501574893575e-95
30.0	3.7287744094691316e-93	1.4915097637876527e-94	2.69653170353602e-90	1410040726841378.0	1.0786126814144081e-91	3.80027289533996e-90	1987196942099355.5	1.520109158135984e-91
31.0	9.13114685424842e-90	3.6524587416993686e-91	7.247820695295438e-87	1547655689669683.2	2.899128278118175e-88	1.0437957859889451e-86	2228858238846347.5	4.1751831439557806e-88
32.0	1.3754921728962054e-86	5.501968691584822e-88	1.1936888857545265e-83	1692097026284133.8	4.774755543018106e-85	1.7571439066125536e-83	2490814830074422.0	7.028575626450214e-85
33.0	1.3321223822662172e-83	5.328489529064869e-85	1.2593343953552695e-80	1843270935238442.8	5.037337581421078e-82	1.895253023761731e-80	2774056538523459.0	7.581012095046924e-82
34.0	8.62394277127188e-81	3.449577108508752e-82	8.850650653775094e-78	2001066716671331.2	3.5402602615100376e-79	1.3620917383959509e-77	3079588777571463.0	5.448366953583804e-79
35.0	3.863058239123031e-78	1.5452232956492123e-79	4.2901130213344503e-75	2165358023351980.2	1.71604520853378e-76	6.752952486841515e-75	3408432313083584.0	2.701180994736606e-76
36.0	1.2346456248483938e-75	4.9385824993935754e-77	1.4791890716501776e-72	2336004113642830.0	5.916756286600711e-74	2.3819100547844296e-72	3761623035854570.5	9.527640219137718e-74
37.0	2.893479256163638e-73	1.1573917024654552e-74	3.729021541656509e-70	2512851096277635.0	1.4916086166626037e-71	6.143992695318899e-70	4140211743881635.0	2.45759707812756e-71
38.0	5.095603356295623e-71	2.0382413425182494e-72	7.044988364677944e-68	2695733158171034.5	2.8179953458711777e-69	1.1878524189535541e-67	4545263933779612.0	4.751409675814216e-69
39.0	6.892989102910229e-69	2.7571956411640915e-70	1.01972237831803e-65	2884473767759816.5	4.0788895132721196e-67	1.7597784690263927e-65	4977859600715806.0	7.039113876105571e-67
40.0	7.305359005961327e-67	2.9221436023845307e-68	1.1535676176070106e-63	3078886847589953.0	4.614270470428043e-65	2.0378669038371044e-63	5439093046299801.0	8.151467615348417e-65
41.0	6.175113122328075e-65	2.47004524893123e-66	1.0384000086085413e-61	3278777910984536.5	4.1536000344341654e-63	1.8780739969548875e-61	5930072693914531.0	7.51229598781955e-63
42.0	4.230843445963697e-63	1.692337378385479e-64	7.559725567868495e-60	3483945158643198.0	3.023890227147398e-61	1.3999862010428435e-59	6451920911020224.0	5.5999448041713745e-61
43.0	2.3842112950471078e-61	9.536845180188431e-63	4.5172135370541905e-58	3694180531928820.0	1.8068854148216762e-59	8.566602564505439e-58	7005773838003057.0	3.426641025802176e-59
