T	370_TPD_kooji	370_TPD_full	370_rate_full	370_rate_kooji	ratio
21.0	1.3153415731584036e-65	3.103031078282445e-65	1.2412124313129781e-66	5.2613662926336154e-67	2.3591066697842096
22.0	5.580449319119584e-62	1.143686273012412e-61	4.574745092049649e-63	2.2321797276478337e-63	2.049451948419181
23.0	1.1501647472692245e-58	2.0803554771908085e-58	8.321421908763237e-60	4.600658989076897e-60	1.8087456445957746
24.0	1.2601556217190638e-55	2.039337648233136e-55	8.157350592932545e-57	5.0406224868762554e-57	1.6183220652153558
25.0	7.9163105875896015e-53	1.1600198043824804e-52	4.640079217529922e-54	3.1665242350358404e-54	1.4653540832531802
26.0	3.039954320691122e-50	4.076021935815938e-50	1.6304087743263752e-51	1.2159817282764488e-51	1.3408168366455158
27.0	7.536199406907261e-48	9.331514675498134e-48	3.732605870199253e-49	3.014479762762905e-49	1.2382255526499715
28.0	1.2638430827533813e-45	1.4569982878757357e-45	5.827993151502943e-47	5.055372331013526e-47	1.1528316353178518
29.0	1.492812108199997e-43	1.6138760893053228e-43	6.455504357221291e-45	5.971248432799987e-45	1.081097936197277
30.0	1.286090792038151e-41	1.312260910890197e-41	5.249043643560788e-43	5.144363168152605e-43	1.0203485780429018
31.0	8.331424998113864e-40	8.069239320653226e-40	3.22769572826129e-41	3.3325699992455453e-41	0.9685305121848911
32.0	4.167961739399816e-38	3.851397324628941e-38	1.5405589298515767e-39	1.6671846957599262e-39	0.9240481476165232
33.0	1.648387794969479e-36	1.4598892330142456e-36	5.839556932056984e-38	6.593551179877917e-38	0.8856467133944512
34.0	5.261450465041547e-35	4.48448529906221e-35	1.7937941196248843e-36	2.1045801860166183e-36	0.8523287121789523
35.0	1.3804368694930934e-33	1.136504313173394e-33	4.546017252693576e-35	5.521747477972374e-35	0.8232932184654896
36.0	3.025970220605184e-32	2.4143949820749835e-32	9.657579928299934e-34	1.2103880882420736e-33	0.7978911906119527
37.0	5.622876198474711e-31	4.361058742286883e-31	1.744423496914753e-32	2.2491504793898844e-32	0.7755921681985253
38.0	8.973129066766783e-30	6.783319210386699e-30	2.71332768415468e-31	3.589251626706713e-31	0.7559591709774526
39.0	1.244195150101239e-28	9.189993393608295e-29	3.675997357443319e-30	4.9767806004049566e-30	0.7386295785561063
40.0	1.5147957501367442e-27	1.0956524042344478e-27	4.3826096169377915e-29	6.059183000546976e-29	0.7233004212848768
41.0	1.6347756698897e-26	1.1602280179534651e-26	4.640912071813861e-28	6.539102679558801e-28	0.709716959533504
42.0	1.577345636911382e-25	1.1004568545922935e-25	4.401827418369174e-27	6.309382547645528e-27	0.6976637389044993
43.0	1.3713247909385148e-24	9.420418873598287e-25	3.7681675494393153e-26	5.48529916375406e-26	0.6869575271917231
44.0	1.08186230066449e-23	7.32898629784419e-24	2.9315945191376763e-25	4.327449202657961e-25	0.6774416941363662
45.0	7.795117028693619e-23	5.2147906933245124e-23	2.0859162773298043e-24	3.1180468114774474e-24	0.6689817066413506
46.0	5.16000379174579e-22	3.4131438127737643e-22	1.3652575251095058e-23	2.064001516698316e-23	0.6614614931550257
47.0	3.154965671116797e-21	2.065809969185984e-21	8.263239876743936e-23	1.2619862684467188e-22	0.6547804903546628
48.0	1.790615625756986e-20	1.1618431498231611e-20	4.647372599292646e-22	7.162462503027944e-22	0.6488512292145279
49.0	9.476420000691166e-20	6.098998803105163e-20	2.4395995212420655e-21	3.7905680002764665e-21	0.643597350334866
50.0	4.696065831890664e-19	3.0005604819829337e-19	1.2002241927931736e-20	1.878426332756265e-20	0.6389519630679648
51.0	2.187478589116436e-18	1.3887345233081204e-18	5.554938093232482e-20	8.749914356465745e-20	0.6348562816649358
52.0	9.6120653182685e-18	6.067697799479632e-18	2.427079119791853e-19	3.8448261273074e-19	0.6312584859309567
53.0	3.997423641254101e-17	2.5108328155397404e-17	1.0043331262158961e-18	1.5989694565016406e-18	0.6281127648387108
54.0	1.5781781348772226e-16	9.869586905519432e-17	3.947834762207773e-18	6.312712539508889e-18	0.6253785100303179
55.0	5.931577027326292e-16	3.695488941132085e-16	1.4781955764528342e-17	2.3726308109305173e-17	0.6230196327397028
56.0	2.1279489818590947e-15	1.321464793007056e-15	5.2858591720282256e-17	8.511795927436382e-17	0.621003982836351
57.0	7.304458292686005e-15	4.5236718585471415e-15	1.80946874341886e-16	2.92178331707441e-16	0.619302852762773
58.0	2.4045655754182232e-14	1.485758351584646e-14	5.943033406338624e-16	9.61826230167299e-16	0.6178905523615111
59.0	7.60722771385165e-14	4.6917123774296536e-14	1.8766849509719013e-15	3.042891085540764e-15	0.6167440431534171
60.0	2.317478059391958e-13	1.4272017661033397e-13	5.708807064413748e-15	9.269912237568856e-15	0.615842622681717
61.0	6.810929557763907e-13	4.1898635384450913e-13	1.6759454153783902e-14	2.7243718231064947e-14	0.6151676511862375
62.0	1.934413002791526e-12	1.189088149444467e-12	4.7563525977808646e-14	7.73765201117402e-14	0.6147023142048994
63.0	5.317984545424258e-12	3.267536773346479e-12	1.307014709340969e-13	2.1271938181759945e-13	0.6144314157802956
64.0	1.4172914895939684e-11	8.707005513942428e-12	3.482802205594688e-13	5.66916595842279e-13	0.6143411978300302
65.0	3.6669439172094966e-11	2.253040681923616e-11	9.012162727818777e-13	1.4667775669167254e-12	0.6144191819597438
66.0	9.222819059222724e-11	5.6688429082836236e-11	2.267537163395816e-12	3.6891276239071824e-12	0.6146540305900966
67.0	2.257793352946193e-10	1.3886228939222679e-10	5.554491576205709e-12	9.031173413151604e-12	0.6150354247563231
68.0	5.386174993122446e-10	3.3154813270593583e-10	1.3261925311312538e-11	2.1544699980614835e-11	0.6155539563440268
69.0	1.2535378099099744e-09	7.724312934674142e-10	3.089725175610479e-11	5.0141512442315705e-11	0.6162010328597469
70.0	2.8491311763879926e-09	1.7578250247888179e-09	7.031300108548063e-11	1.1396524730274231e-10	0.6169687931154844
71.0	6.330486941368825e-09	3.911291569617168e-09	1.5645166326869794e-10	2.5321947892551264e-10	0.6178500324405136
72.0	1.3763192665669309e-08	8.517188534803125e-09	3.406875437786313e-10	5.505277128746556e-10	0.6188381362305719
73.0	2.9305162066789526e-08	1.8167061988652385e-08	7.266824908257764e-10	1.172206512108138e-09	0.6199270208104242
74.0	6.116128894540812e-08	3.798795506289398e-08	1.5195182537071454e-09	2.446451690945506e-09	0.6211110807260131
75.0	1.252166281377367e-07	7.793297226820437e-08	3.117319114168806e-09	5.008665704403749e-09	0.6223851417011078
76.0	2.516676795090044e-07	1.5697632474834217e-07	6.279053929343878e-09	1.0066709604375231e-08	0.623744418594816
77.0	4.969162380344489e-07	3.106643765222415e-07	1.2426578870710652e-08	1.987665930989425e-08	0.6251844777821854
78.0	9.645474493821843e-07	6.044832722621107e-07	2.4179345815206186e-08	3.858193614744818e-08	0.6267012034543895
79.0	1.8417391980186891e-06	1.1571485813264237e-06	4.628599980224227e-08	7.36697118659526e-08	0.62829076739791
80.0	3.461483337621353e-06	2.1805631397958566e-06	8.722273308448535e-08	1.384598590521969e-07	0.6299496018669493
81.0	6.407346028077819e-06	4.047367217688256e-06	1.6189542686096128e-07	2.5629570109922245e-07	0.6316743752103942
82.0	1.1687339048153092e-05	7.403522261956931e-06	2.961434393294988e-07	4.6749995007690133e-07	0.6334619699548305
83.0	2.101853180970592e-05	1.33533969015166e-05	5.341444278920654e-07	8.407625872619081e-07	0.635309463081131
84.0	3.7286748993056346e-05	2.3760046599880336e-05	9.504297721605414e-07	1.4915391229372268e-06	0.6372141082621413
85.0	6.527948869309026e-05	4.17261816136867e-05	1.6691359353557255e-06	2.611398009747097e-06	0.6391733198561235
86.0	0.0001128397256554	7.235501476774048e-05	2.894475131561337e-06	4.514261364973022e-06	0.6411846584737202
87.0	0.0001926596835397	0.0001239392587894	4.958399420631695e-06	7.708405219611671e-06	0.6432458179568155
88.0	0.0003250346201684	0.000209796859793	8.394318349108005e-06	1.300729579037502e-05	0.6453546136253417
89.0	0.0005420356563784	0.0003510707830586	1.4049869479329735e-05	2.169833947354176e-05	0.6475089716640152
90.0	0.0008937445864703	0.0005809450251546	2.325761677190128e-05	3.5797089537779375e-05	0.6497069195347783
91.0	0.0014574211341562	0.0009509056753847	3.80908095037708e-05	5.842627422139318e-05	0.6519465773127049
92.0	0.0023507187739725	0.0015398910613931	6.174282887490284e-05	9.437536070459808e-05	0.654226149854542
93.0	0.003750243208394	0.0024674004291784	9.90848015176414e-05	0.0001509187710705	0.6565439197179459
94.0	0.0059166343250055	0.0039117765621709	0.0001574775256152	0.0002390012840744	0.6588982407566395
95.0	0.0092264297327151	0.0061347167956504	0.0002479432135554	0.0003749401000818	0.6612875323319823
96.0	0.014208126395989	0.0095120807876957	0.0003868420039787	0.0005828476958871	0.6637102740706946
97.0	0.0215728955721142	0.014568158291967	0.0005982507767385	0.000898051947681	0.6661650011264232
98.0	0.0322153685815436	0.02200359561701	0.0009173113415056	0.0013718850371434	0.6686502998936896
99.0	0.0471307968966614	0.0326923681807085	0.0013949063389622	0.0020783365432494	0.671164804128073
100.0	0.0671459417211278	0.0475949206918797	0.0021041401090335	0.003123226433939	0.6737071914378515
101.0	0.0922981604188173	0.0674878574419103	0.0031492556227039	0.0046567596424695	0.6762761801109055
102.0	0.120673469363822	0.0923521813585408	0.0046778162375449	0.0068905867270797	0.6788705262443457
103.0	0.1467111572659377	0.1202448465987216	0.0068972333187505	0.0101208282227614	0.6814890211493617
104.0	0.1598125250545121	0.1456766558087518	0.01009704068741	0.0147589397778418	0.6841304890049826
105.0	0.1460377338186543	0.1583208898767143	0.0146787200190262	0.0213728201175232	0.6867937847374374
106.0	0.0978163438378714	0.1447161618609088	0.0211953863021475	0.0307412168236365	0.6894777921038786
107.0	0.0	0.0975921134373984	0.0304042712830474	0.0439252922982158	0.6921814219613603
108.0	0.0	0.0	0.0433357213693993	0.062362204918627	0.6949036107037218
109.0	0.0	0.0	0.06138338506293	0.0879867740496393	0.6976433188503931
110.0	0.0	0.0	0.0864214389336626	0.1233887734928449	0.7003995297730553
111.0	0.0	0.0	0.1209561313061708	0.1720151834366363	0.703171248546942
112.0	0.0	0.0	0.1683206562792058	0.23842888001193	0.7059575009150894
113.0	0.0	0.0	0.2329244613981136	0.3286378154625075	0.7087573323547932
114.0	0.0	0.0	0.3205706017727351	0.4505118099624101	0.7115698072365361
