T	63_TPD_HH	63_rate_HH	63_TPD_full	63_pre_full	63_rate_full	63_TPD_Tait	63_pre_Tait	63_rate_Tait
1.0	0.0	0.0	0.0	107091808.61877497	0.0	0.0	107091808.61877497	0.0
2.0	0.0	0.0	0.0	1211605505.341884	0.0	0.0	1211605505.3418834	0.0
3.0	0.0	0.0	0.0	5008188247.258343	0.0	0.0	5008188247.258343	0.0
4.0	0.0	0.0	0.0	13707751503.203463	0.0	0.0	13707751503.203196	0.0
5.0	0.0	0.0	0.0	29933070488.44167	0.0	0.0	29933070488.12234	0.0
6.0	0.0	0.0	0.0	56661181977.96541	0.0	0.0	56661181937.52231	0.0
7.0	0.0	0.0	0.0	97185035908.16086	0.0	0.0	97185034518.6889	0.0
8.0	0.0	0.0	0.0	155085525569.48853	0.0	0.0	155085504683.76108	0.0
9.0	0.0	0.0	0.0	234209965065.01047	0.0	0.0	234209785449.2608	0.0
10.0	4.645872578050858e-284	1.8583490312203432e-285	6.238953321685053e-285	338655073756.3149	2.4955813286740213e-286	6.238934166199728e-285	338654033982.1795	2.495573666479891e-286
11.0	3.3201886684615406e-257	1.3280754673846163e-258	6.22421235992451e-258	472753533050.96857	2.489684943969804e-259	6.224153142695143e-258	472749035268.31244	2.4896612570780573e-259
12.0	7.934844140491206e-235	3.1739376561964824e-236	2.0170953906184776e-235	641063692760.9226	8.06838156247391e-237	2.0170463145862757e-235	641048095649.0679	8.068185258345103e-237
13.0	6.839552872689745e-216	2.7358211490758978e-217	2.300890051546989e-216	848362180498.3191	9.203560206187955e-218	2.300766540603907e-216	848316640724.301	9.20306616241563e-218
14.0	1.1624189813265168e-199	4.649675925306067e-201	5.068736737247331e-200	1099639132935.3694	2.0274946948989324e-201	5.0682021238115235e-200	1099523151008.2183	2.0272808495246095e-201
15.0	1.3537636036205077e-185	5.415054414482031e-187	7.516010798172933e-186	1400095649546.2415	3.0064043192691735e-187	7.514591019143898e-186	1399831170623.1467	3.0058364076575593e-187
16.0	2.749895857993118e-173	1.0999583431972473e-174	1.9138839464179902e-173	1755142963468.1401	7.655535785671962e-175	1.913283361788562e-173	1754592192410.009	7.653133447154248e-175
17.0	1.990497562574439e-162	7.961990250297757e-164	1.7131241682283005e-162	2170402777081.6924	6.852496672913202e-164	1.7122847296438077e-162	2169339269912.2988	6.849138918575231e-164
18.0	8.94972004169096e-153	3.579888016676384e-154	9.410702448497484e-153	2651708228072.6616	3.7642809793989936e-154	9.403863721120803e-153	2649781240182.699	3.761545488448321e-154
19.0	3.8760320754059045e-144	1.5504128301623618e-145	4.9262503879312494e-144	3205105019278.587	1.9705001551725e-145	4.9211666740992915e-144	3201797465777.1846	1.9684666696397165e-145
20.0	2.296793344400841e-136	9.187173377603364e-138	3.494490485334868e-136	3836852340237.6133	1.3977961941339473e-137	3.48955473262331e-136	3831433022479.6597	1.395821893049324e-137
21.0	2.4740621322103414e-129	9.896248528841366e-131	4.467200899051992e-129	4553423310235.956	1.786880359620797e-130	4.4588333654781623e-129	4544894273086.017	1.783533346191265e-130
22.0	6.112507602452322e-123	2.445003040980929e-124	1.2995499123621884e-122	5361504767927.009	5.198199649448754e-124	1.2964086014354196e-122	5348544778201.952	5.185634405741679e-124
23.0	4.197194865861113e-117	1.678877946344445e-118	1.0432171565694053e-116	6267996313484.726	4.172868626277621e-118	1.0400391021208146e-116	6248901503317.5625	4.160156408483258e-118
24.0	9.400313589244421e-112	3.7601254356977684e-113	2.713695333654214e-111	7280008572760.948	1.0854781334616856e-112	2.7034901794770418e-111	7252631288002.855	1.0813960717908168e-112
25.0	7.855297760336054e-107	3.1421191041344215e-108	2.618062603699962e-106	8404860699232.447	1.0472250414799848e-107	2.606128291976521e-106	8366547548341.793	1.0424513167906084e-107
26.0	2.7443060421534036e-102	1.0977224168613614e-103	1.0501472107085339e-101	9650077160628.146	4.200588842834136e-103	1.0444372879284498e-101	9597607187992.727	4.1777491517137995e-103
27.0	4.416173200734051e-98	1.7664692802936204e-99	1.9304025600035152e-97	11023383875775.074	7.721610240014061e-99	1.91806085096619e-97	10952907696753.994	7.67224340386476e-99
28.0	3.557013138523645e-94	1.422805255409458e-95	1.767734751016478e-93	12532703776268.393	7.070939004065912e-95	1.7546143937200433e-93	12439684418392.18	7.018457574880173e-95
29.0	1.5404834899239192e-90	6.161933959695677e-92	8.665796944022382e-90	14186151869691.037	3.466318777608953e-91	8.591977863982705e-90	14065307971883.564	3.4367911455930816e-91
30.0	3.816984966705474e-87	1.5267939866821896e-88	2.4205323843795028e-86	15992029878509.414	9.682129537518012e-88	2.3971099227712986e-86	15837281812222.887	9.588439691085194e-88
31.0	5.71159076015223e-84	2.2846363040608922e-85	4.067445551816002e-83	17958820523223.57	1.626978220726401e-84	4.023149020254014e-83	17763239918642.918	1.6092596081016056e-84
32.0	5.4114469074869455e-81	2.1645787629947784e-82	4.312133429562006e-80	20095181511201.625	1.7248533718248024e-81	4.259723743637938e-80	19850944599521.418	1.7038894974551753e-81
33.0	3.384117426240743e-78	1.3536469704962973e-79	3.0072737240880922e-77	22409939284852.477	1.202909489635237e-78	2.9667935253704032e-77	22108284404474.98	1.1867174101481613e-78
34.0	1.4490548700007232e-75	5.796219480002893e-77	1.4314682540531383e-74	24912082575056.484	5.725873016212553e-76	1.4102761102472454e-74	24543272135188.156	5.641104440988981e-76
35.0	4.388765121943249e-73	1.7555060487772996e-74	4.805155973203563e-72	27610755798515.508	1.9220623892814253e-73	4.727413627417849e-72	27164042947431.504	1.8909654509671395e-73
36.0	9.67744108759019e-71	3.8709764350360764e-72	1.1710201203666014e-69	30515252331154.42	4.6840804814664055e-71	1.1504358255324333e-69	29978852537505.383	4.601743302129733e-71
37.0	1.5941373393026875e-68	6.37654935721075e-70	2.126200035329271e-67	33635007684021.156	8.504800141317084e-69	2.085810633826068e-67	32996075407029.227	8.343242535304272e-69
38.0	2.007457634254408e-66	8.029830537017632e-68	2.9437123263020274e-65	36979592603333.375	1.177484930520811e-66	2.8835805363209326e-65	36224203200591.195	1.153432214528373e-66
39.0	1.9728954979043468e-64	7.891581991617388e-66	3.173036216430734e-63	40558706112364.24	1.2692144865722936e-64	3.1036541110548476e-63	39671843111297.37	1.2414616444219392e-64
40.0	1.5416360962162813e-62	6.166544384865126e-64	2.713171484130687e-61	44382168509685.38	1.0852685936522748e-62	2.649933337001716e-61	43347716349718.98	1.0599733348006865e-62
41.0	9.740334181834023e-61	3.8961336727336095e-62	1.8717306622765052e-59	48459914335801.07	7.486922649106021e-61	1.8254101647724767e-59	47260656672144.06	7.301640659089907e-61
42.0	5.0521835021368625e-59	2.020873400854745e-60	1.0578308388357173e-57	52801985318319.24	4.2313233553428695e-59	1.0301364192180277e-57	51419608964400.414	4.120545676872111e-59
43.0	2.181134843365801e-57	8.724539373463204e-59	4.966167805325999e-56	57418523304402.73	1.9864671221303997e-57	4.829089103380154e-56	55833627877837.875	1.9316356413520616e-57
44.0	7.936417814983196e-56	3.174567125993278e-57	1.9612690417804752e-54	62319763188252.16	7.845076167121901e-56	1.9043729307687448e-54	60511876514343.99	7.617491723074979e-56
45.0	2.461850676461344e-54	9.847402705845376e-56	6.591062554385857e-53	67516025840686.1	2.636425021754343e-54	6.3907026972860195e-53	65463625157523.54	2.556281078914408e-54
46.0	6.578385879602607e-53	2.6313543518410427e-54	1.9047343551616072e-51	73017711047447.8	7.618937420646429e-53	1.844229075156693e-51	70698250047402.52	7.376916300626772e-53
47.0	1.5287529862877287e-51	6.115011945150915e-53	4.779086002203329e-50	78835290462598.7	1.9116344008813317e-51	4.620861267410349e-50	76225232196222.78	1.8483445069641396e-51
