T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
1.0	0.0	0.0	0.0	107091808.61877497	0.0	0.0	107091808.61877497	0.0
2.0	0.0	0.0	0.0	1211605505.1005363	0.0	0.0	1211605505.3418834	0.0
3.0	0.0	0.0	0.0	5008187364.188246	0.0	0.0	5008188247.258343	0.0
4.0	0.0	0.0	0.0	13707671832.066912	0.0	0.0	13707751503.203196	0.0
5.0	0.0	0.0	0.0	29931499926.90139	0.0	0.0	29933070488.12234	0.0
6.0	0.0	0.0	0.0	56647604637.94337	0.0	0.0	56661181937.52231	0.0
7.0	0.0	0.0	0.0	97114671082.00885	0.0	0.0	97185034518.6889	0.0
8.0	0.0	0.0	0.0	154826250264.64297	0.0	0.0	155085504683.76108	0.0
9.0	5.112539635825783e-281	2.0450158543303133e-282	5.014995609505554e-282	233457363400.12274	2.0059982438022217e-283	5.0311587033483275e-282	234209785449.2608	2.012463481339331e-283
10.0	8.832288413986733e-252	3.532915365594693e-253	1.249955832925778e-252	336817875726.8745	4.999823331703112e-254	1.2567699508417e-252	338654033982.1795	5.0270798033668e-254
11.0	7.395202780015359e-228	2.9580811120061437e-229	1.4567232972147097e-228	468814122768.8004	5.826893188858839e-230	1.4689500592343498e-228	472749035268.31244	5.8758002369374e-230
12.0	6.396173103719156e-208	2.5584692414876625e-209	1.7023030514446445e-208	633417964109.6476	6.809212205778578e-210	1.722808936876449e-208	641048095649.0679	6.891235747505796e-210
13.0	4.751076029003434e-191	1.9004304116013736e-192	1.6661664042672354e-191	834641741056.7185	6.664665617068942e-193	1.693465132915774e-191	848316640724.301	6.773860531663096e-193
14.0	1.375805846096218e-176	5.503223384384872e-178	6.22306970080692e-177	1076517816873.5435	2.489227880322768e-178	6.356057558106128e-177	1099523151008.2183	2.542423023242451e-178
15.0	4.709806197525675e-164	1.8839224790102698e-165	2.697436558070616e-164	1363081770087.997	1.0789746232282464e-165	2.7701608646133503e-164	1399831170623.1467	1.1080643458453402e-165
16.0	4.3799319481131036e-153	1.7519727792452414e-154	3.125525525958551e-153	1698358599216.8372	1.2502102103834204e-154	3.2290134059755715e-153	1754592192410.009	1.2916053623902287e-154
17.0	2.090578191230816e-143	8.362312764923265e-145	1.8326527240037726e-143	2086351451951.5134	7.33061089601509e-145	1.9055492872854304e-143	2169339269912.2988	7.622197149141722e-145
18.0	8.400654501395713e-135	3.360261800558285e-136	8.933818652598973e-135	2531032467023.4985	3.573527461039589e-136	9.352967762080966e-135	2649781240182.699	3.7411871048323864e-136
19.0	4.200262766482876e-127	1.6801051065931503e-128	5.358614202548715e-127	3036335362196.3335	2.143445681019486e-128	5.65062660317846e-127	3201797465777.1846	2.2602506412713839e-128
20.0	3.571846987412755e-120	1.428738794965102e-121	5.412063196676252e-120	3606149442545.9233	2.1648252786705007e-121	5.7501659268043915e-120	3831433022479.6597	2.3000663707217568e-121
21.0	6.653430139232743e-114	2.661372055693097e-115	1.1865320574945121e-113	4244314746415.007	4.746128229978048e-115	1.270561462835604e-113	4544894273086.017	5.082245851342416e-115
22.0	3.3391876673460716e-108	1.3356750669384287e-109	6.951480431117833e-108	4954618090557.424	2.780592172447133e-109	7.504171599318028e-108	5348544778201.952	3.0016686397272113e-109
23.0	5.357354492498332e-103	2.1429417969993328e-104	1.2922553051146885e-102	5740789817426.198	5.169021220458754e-104	1.4066315569138294e-102	6248901503317.5625	5.626526227655318e-104
24.0	3.1686120379194666e-98	1.2674448151677866e-99	8.7956283643589e-98	6606501083704.384	3.5182513457435602e-99	9.655859987723747e-98	7252631288002.855	3.862343995089499e-99
25.0	7.78735615118266e-94	3.114942460473064e-95	2.4721315791311117e-93	7555361559096.708	9.888526316524447e-95	2.737553489767145e-93	8366547548341.793	1.095021395906858e-94
26.0	8.800532750732977e-90	3.520213100293191e-91	3.1766897452644074e-89	8590917428466.92	1.270675898105763e-90	3.5489364886857334e-89	9597607187992.727	1.4195745954742934e-90
27.0	4.985457499647001e-86	1.9941829998588004e-87	2.0353910150781485e-85	9716649609682.305	8.141564060312594e-87	2.294355648343924e-85	10952907696753.994	9.177422593375696e-87
28.0	1.5244195265026622e-82	6.097678106010649e-84	7.004678228096172e-82	10935972115257.367	2.8018712912384688e-83	7.967831820669216e-82	12439684418392.18	3.1871327282676867e-83
29.0	2.6816600321963653e-79	1.0726640128785462e-80	1.380527844476239e-78	12252230499168.148	5.522111377904956e-80	1.5848174989555746e-78	14065307971883.564	6.339269995822299e-80
30.0	2.868185673540673e-76	1.1472742694162693e-77	1.6472547841408853e-75	13668700341859.066	6.589019136563542e-77	1.9085968366048305e-75	15837281812222.887	7.634387346419323e-77
31.0	1.9571468627063104e-73	7.828587450825242e-75	1.2490132506647104e-72	15188585737000.203	4.996053002658842e-74	1.4607365305298827e-72	17763239918642.918	5.842946122119531e-74
32.0	8.886851209553612e-71	3.554740483821445e-72	6.278726011015617e-70	16815017753240.492	2.511490404406247e-71	7.41234080328137e-70	19850944599521.418	2.964936321312548e-71
33.0	2.7865042518468088e-68	1.1146017007387236e-69	2.1719737170948842e-67	18551052853128.72	8.687894868379537e-69	2.5884575412915083e-67	22108284404474.98	1.0353830165166034e-68
34.0	6.233715472377893e-66	2.4934861889511572e-67	5.343138569011301e-65	20399671259507.066	2.1372554276045203e-66	6.428442021787413e-65	24543272135188.156	2.571376808714965e-66
35.0	1.0241819466979318e-63	4.096727786791727e-65	9.623842976154786e-63	22363775266956.62	3.849537190461914e-64	1.1689550659627128e-62	27164042947431.504	4.6758202638508514e-64
