T	des_TPD_HH	des_rate_HH	des_TPD_full	des_pre_full	des_rate_full	des_TPD_Tait	des_pre_Tait	des_rate_Tait
1.0	0.0	0.0	0.0	107091808.61877497	0.0	0.0	107091808.61877497	0.0
2.0	0.0	0.0	0.0	1211605505.0281022	0.0	0.0	1211605505.3418834	0.0
3.0	0.0	0.0	0.0	5008186451.031831	0.0	0.0	5008188247.258343	0.0
4.0	0.0	0.0	0.0	13707581263.144886	0.0	0.0	13707751503.203196	0.0
5.0	0.0	0.0	0.0	29930098817.850258	0.0	0.0	29933070488.12234	0.0
6.0	0.0	0.0	0.0	56639442106.42252	0.0	0.0	56661181937.52231	0.0
7.0	0.0	0.0	0.0	97089492980.27785	0.0	0.0	97185034518.6889	0.0
8.0	0.0	0.0	0.0	154782488445.60764	0.0	0.0	155085504683.76108	0.0
9.0	0.0	0.0	0.0	233440611328.48026	0.0	0.0	234209785449.2608	0.0
10.0	0.0	0.0	0.0	336989871318.55566	0.0	0.0	338654033982.1795	0.0
11.0	0.0	0.0	0.0	469553206864.6359	0.0	0.0	472749035268.31244	0.0
12.0	9.757495574173245e-287	3.902998229669298e-288	2.2341799792545804e-287	635449595653.7472	8.936719917018322e-289	2.2538637695802852e-287	641048095649.0679	9.01545507832114e-289
13.0	8.375122606886682e-264	3.3500490427546727e-265	2.5325237983225215e-264	839196524353.5039	1.0130095193290086e-265	2.560046447764269e-264	848316640724.301	1.0240185791057076e-265
14.0	3.803239141527738e-244	1.521295656611095e-245	1.487605215515586e-244	1085513860681.6292	5.950420862062345e-246	1.5068037666445603e-244	1099523151008.2183	6.027215066578241e-246
15.0	4.130952430487103e-227	1.6523809721948412e-228	2.0531296369300758e-227	1379327811673.1963	8.212518547720303e-229	2.0836488895402976e-227	1399831170623.1467	8.334595558161191e-229
16.0	3.3275116183014283e-212	1.3310046473205714e-213	2.0691988725070776e-212	1725774181746.1965	8.276795490028311e-214	2.1037515942966238e-212	1754592192410.009	8.415006377186495e-214
17.0	4.722645905320758e-199	1.8890583621283032e-200	3.6249711980536614e-199	2130200542412.562	1.4499884792214646e-200	3.691573734805593e-199	2169339269912.2988	1.4766294939222372e-200
18.0	2.3150961594753987e-187	9.260384637901594e-189	2.1673787695229808e-187	2598167197177.152	8.669515078091924e-189	2.2104349597254478e-187	2649781240182.699	8.841739838901791e-189
19.0	6.669013433129679e-177	2.6676053732518715e-178	7.534592001404896e-177	3135446991732.8223	3.0138368005619584e-178	7.694034579239003e-177	3201797465777.1846	3.0776138316956013e-178
20.0	1.72704658896124e-167	6.90818635584496e-169	2.3324111780398772e-167	3748024108373.367	9.32964471215951e-169	2.3843168963555784e-167	3831433022479.6597	9.537267585422314e-169
21.0	5.672486593111495e-159	2.268994637244598e-160	9.079453612119959e-159	4442092020161.678	3.6317814448479836e-160	9.289577194074478e-159	4544894273086.017	3.7158308776297915e-160
22.0	3.131649586292132e-151	1.2526598345168529e-152	5.894937926344228e-151	5224050784955.182	2.3579751705376913e-152	6.035419784695597e-151	5348544778201.952	2.4141679138782388e-152
23.0	3.6672344273306956e-144	1.4668937709322783e-145	8.061262500333614e-144	6100503846117.164	3.2245050001334454e-145	8.257356544252352e-144	6248901503317.5625	3.302942617700941e-145
24.0	1.1057772190963717e-137	4.423108876385487e-139	2.8202817451981777e-137	7078254484871.889	1.1281126980792711e-138	2.8897609813159766e-137	7252631288002.855	1.1559043925263907e-138
25.0	1.0103842741966746e-131	4.0415370967866985e-133	2.972379973892021e-131	8164302044406.311	1.1889519895568084e-132	3.046011557147738e-131	8366547548341.793	1.2184046228590953e-132
26.0	3.2110048848557995e-126	1.2844019539423198e-127	1.0836431595603857e-125	9365838021173.963	4.334572638241543e-127	1.1104592406897371e-125	9597607187992.727	4.4418369627589484e-127
27.0	3.9912585574280835e-121	1.5965034229712335e-122	1.5374326093245365e-120	10690242096093.66	6.149730437298146e-122	1.575208242109371e-120	10952907696753.994	6.300832968437484e-122
28.0	2.1457985736179366e-116	8.583194294471746e-118	9.390483444231905e-116	12145078158228.621	3.756193377692762e-117	9.618270797478259e-116	12439684418392.18	3.8473083189913035e-117
29.0	5.441844732459772e-112	2.176737892983909e-113	2.693836293479981e-111	13738090356330.51	1.0775345173919923e-112	2.7579988274115338e-111	14065307971883.564	1.1031995309646136e-112
30.0	7.018206305694791e-108	2.807282522277917e-109	3.913967253592333e-107	15477199199306.99	1.5655869014369333e-108	4.0050271112185045e-107	15837281812222.887	1.6020108444874017e-108
31.0	4.914287201881152e-104	1.965714880752461e-105	3.0758948256999555e-103	17370497715035.387	1.2303579302799822e-104	3.145439966646882e-103	17763239918642.918	1.2581759866587528e-104
32.0	1.9784552290967098e-100	7.91382091638684e-102	1.3848853890571107e-99	19426247667755.01	5.539541556228443e-101	1.4151617751940455e-99	19850944599521.418	5.660647100776182e-101
33.0	4.815971993783264e-97	1.9263887975133055e-98	3.757493371617013e-96	21652875827237.953	1.5029973486468053e-97	3.836521890692206e-96	22108284404474.98	1.5346087562768825e-97
34.0	7.4100634029344e-94	2.96402536117376e-95	6.423883329181468e-93	24058970277799.137	2.5695533316725873e-94	6.553194708349003e-93	24543272135188.156	2.621277883339601e-94
35.0	7.495893092926295e-91	2.998357237170518e-92	7.199008358880845e-90	26653276751677.22	2.879603343552338e-91	7.336965509400339e-90	27164042947431.504	2.934786203760136e-91
36.0	5.162652733230306e-88	2.0650610932921223e-89	5.477452976168305e-87	29444694969165.266	2.190981190467322e-88	5.576819703027298e-87	29978852537505.383	2.230727881210919e-88
37.0	2.4975435284208294e-85	9.990174113683318e-87	2.919597963259798e-84	32442274966855.4	1.1678391853039193e-85	2.9694364730078283e-84	32996075407029.227	1.1877745892031313e-85
38.0	8.726909789130712e-83	3.490763915652285e-84	1.1211977350314426e-81	35655213395283.93	4.48479094012577e-83	1.1390899314374488e-81	36224203200591.195	4.556359725749795e-83
39.0	2.2583371158468404e-80	9.033348463387361e-82	3.1811546884423276e-79	39092849767938.49	1.2724618753769311e-80	3.228269887250719e-79	39671843111297.37	1.2913079549002876e-80
40.0	4.426738877396424e-78	1.7706955509585696e-79	6.821307696957385e-77	42764662644855.0	2.728523078782954e-78	6.914309453051133e-77	43347716349718.98	2.765723781220453e-78
41.0	6.707750984898151e-76	2.6831003939592603e-77	1.1282593375724613e-74	46680265735743.66	4.513037350289845e-76	1.1422873531185419e-74	47260656672144.06	4.569149412474167e-76
42.0	8.003089765715437e-74	3.201235906286175e-75	1.4663655176539004e-72	50849403909619.05	5.865462070615602e-74	1.4828087591874594e-72	51419608964400.414	5.931235036749837e-74
43.0	7.644914731026688e-72	3.057965892410675e-73	1.5228414090355592e-70	55281949100162.02	6.091365636142237e-72	1.538038400111412e-70	55833627877837.875	6.152153600445648e-72
44.0	5.936212166053588e-70	2.3744848664214355e-71	1.2831331651186497e-68	59987896098413.48	5.132532660474599e-70	1.294341036927491e-68	60511876514343.99	5.1773641477099644e-70
45.0	3.799005945081127e-68	1.519602378032451e-69	8.89468778918143e-67	64977358226825.75	3.557875115672572e-68	8.96125239951326e-67	65463625157523.54	3.5845009598053037e-68
46.0	2.0292443368552833e-66	8.116977347421133e-68	5.137415036669516e-65	70260562891095.016	2.0549660146678066e-66	5.169418489042316e-65	70698250047402.52	2.0677673956169265e-66
47.0	9.152002476859348e-65	3.6608009907437396e-66	2.5012555864501847e-63	75847847008536.45	1.0005022345800739e-64	2.513700722946119e-63	76225232196222.78	1.0054802891784476e-64
48.0	3.52217652930468e-63	1.408870611721872e-64	1.0375181863779356e-61	81749652313978.67	4.1500727455117424e-63	1.0413827699611596e-61	82054156243080.69	4.1655310798446387e-63
49.0	1.1679921424008202e-61	4.671968569603281e-63	3.70258798834197e-60	87976520546227.08	1.481035195336788e-61	3.711770702340433e-60	88194709345331.8	1.4847082809361731e-61
50.0	3.3673285331200313e-60	1.3469314132480125e-61	1.1470849618774923e-58	94539088520051.19	4.5883398475099697e-60	1.1485117530668305e-58	94656680104834.66	4.594047012267322e-60
51.0	8.509934781480047e-59	3.403973912592019e-60	3.110776160512824e-57	101448083090358.34	1.2443104642051297e-58	3.1108336377308194e-57	101449957527246.8	1.2443334550923279e-58
52.0	1.8996136657104548e-57	7.598454662841819e-59	7.441332459030598e-56	108714316016737.34	2.9765329836122394e-57	7.432448801018677e-56	108584530012710.53	2.972979520407471e-57
53.0	3.7718680582165046e-56	1.5087472232866018e-57	1.5813086017805373e-54	116348678737860.17	6.32523440712215e-56	1.5775276294347914e-54	116070484376382.22	6.310110517739166e-56
54.0	6.705443038699842e-55	2.682177215479937e-56	3.0047914799482514e-53	124362137066340.62	1.2019165919793007e-54	2.994060524459699e-53	123918004897361.27	1.1976242097838798e-54
55.0	1.0737426608004465e-53	4.294970643201786e-55	5.136707868424435e-52	132765725815545.86	2.0546831473697742e-53	5.112396865405267e-52	132137372394673.98	2.0449587461621066e-53
56.0	1.5574329331749298e-52	6.229731732699719e-54	7.94476284799345e-51	141570543370566.8	3.17790513919738e-52	7.898095610150992e-51	140738963329051.94	3.1592382440603966e-52
57.0	2.0569261981461795e-51	8.227704792584718e-53	1.1175924126409792e-49	150787746216074.4	4.4703696505639165e-51	1.1097768029751177e-49	149733248929326.62	4.4391072119004707e-51
58.0	2.4856267937309947e-50	9.942507174923979e-52	1.4368659302448978e-48	160428543434124.6	5.747463720979591e-50	1.4252427401561516e-48	159130794342337.25	5.700970960624606e-50
59.0	2.7607413182732564e-49	1.1042965273093026e-50	1.6961312629186616e-47	170504191185167.0	6.784525051674647e-49	1.680593556673726e-47	168942257805313.66	6.7223742266949046e-49
60.0	2.830230439152016e-48	1.1320921756608066e-49	1.8461262904011333e-46	181025987185525.03	7.384505161604533e-48	1.827284255138034e-46	179178389839762.78	7.309137020552136e-48
61.0	2.6886705675595167e-47	1.0754682270238066e-48	1.860156209417683e-45	192005265194516.0	7.440624837670732e-47	1.839276211472125e-45	189850032465941.62	7.3571048458885e-47
62.0	2.3756143349845787e-46	9.502457339938315e-48	1.7415644535610196e-44	203453389524137.06	6.966257814244079e-46	1.7202904910438682e-44	200968118437055.66	6.881161964175473e-46
63.0	1.9590153930852334e-45	7.836061572340934e-47	1.520356496051904e-43	215381749583922.5	6.081425984207616e-45	1.5003228024289189e-43	212543670492372.7	6.001291209715676e-45
64.0	1.512622227259944e-44	6.0504889090397764e-46	1.2416129325591399e-42	227801754473101.8	4.96645173023656e-44	1.2240955667804653e-42	224587800628481.16	4.896382267121861e-44
65.0	1.0969184086571197e-43	4.3876736346284787e-45	9.514673599579535e-42	240724827631708.44	3.805869439831814e-43	9.371864728953193e-42	237111709387975.5	3.748745891581277e-43
66.0	7.492207526675332e-43	2.996883010670133e-44	6.861511395188707e-41	254162401561685.56	2.7446045580754826e-42	6.752560921498343e-41	250126685164880.8	2.7010243685993376e-42
67.0	4.832848588454491e-42	1.9331394353817964e-43	4.669180486878427e-40	268125912628371.56	1.8676721947513707e-41	4.591133664022815e-40	263644103526171.72	1.836453465609126e-41
