T	33_TPD_HH	33_rate_HH	33_TPD_full	33_pre_full	33_rate_full	33_TPD_Tait	33_pre_Tait	33_rate_Tait
1.0	0.0	0.0	0.0	163591762.76432127	0.0	0.0	163591762.76432124	0.0
2.0	0.0	0.0	0.0	1850829504.5705862	0.0	0.0	1850829516.7506	0.0
3.0	0.0	0.0	0.0	7650402553.253985	0.0	0.0	7650429609.804089	0.0
4.0	4.008466120985924e-306	1.6033864483943696e-307	4.935996765472088e-308	20938004142.28537	1.974398706188835e-309	4.936407310650524e-308	20939745633.83312	1.97456292426021e-309
5.0	1.154094556894285e-242	4.61637822757714e-244	3.101809311765447e-244	45699593284.304184	1.2407237247061787e-245	3.103553296033511e-244	45725287762.50517	1.2414213184134045e-245
6.0	2.3510067115027834e-200	9.404026846011133e-202	1.1943210544774906e-201	86378538543.27122	4.777284217909962e-203	1.1967571892385664e-201	86554730497.3252	4.7870287569542655e-203
7.0	3.94558856777208e-170	1.5782354271088318e-171	3.427143840803159e-171	147692747051.63763	1.3708575363212636e-172	3.444908859347382e-171	148458330438.88312	1.3779635437389528e-172
8.0	1.8605400450477936e-147	7.442160180191175e-149	2.5652131882429843e-148	234435336939.1349	1.0260852752971938e-149	2.5922493617470525e-148	236906178144.0768	1.036899744698821e-149
9.0	8.12270089422838e-130	3.249080357691352e-131	1.6781390329444787e-130	351290261206.20905	6.712556131777915e-132	1.7091179846083085e-130	357775185165.5705	6.836471938433234e-132
10.0	1.0633533608771264e-115	4.2534134435085055e-117	3.143654026364359e-116	502684817063.3048	1.2574616105457436e-117	3.2351945915445444e-116	517322576777.17847	1.2940778366178177e-117
11.0	3.8148351572045285e-104	1.5259340628818114e-105	1.5540821534697717e-104	692686668237.896	6.216328613879086e-106	1.6202162151182934e-104	722163992019.0582	6.480864860473174e-106
12.0	1.638857705019193e-94	6.5554308200767725e-96	8.914920703593048e-95	924942786183.1106	3.565968281437219e-96	9.438400639852299e-95	979254990054.9233	3.77536025594092e-96
13.0	2.339759033186567e-86	9.359036132746269e-88	1.654903593178891e-86	1202652611242.4436	6.619614372715564e-88	1.7831819751607267e-86	1295875160091.9907	7.132727900642907e-88
14.0	2.3012501376233085e-79	9.205000550493234e-81	2.0687570645915112e-79	1528566364981.0647	8.275028258366044e-81	2.2731848459124092e-79	1679614274831.4805	9.092739383649637e-81
15.0	2.661202112128372e-73	1.0644808448513488e-74	2.981496126004609e-73	1905000185161.57	1.1925984504018437e-74	3.3467252934413505e-73	2138360083074.8914	1.3386901173765402e-74
16.0	5.402999514434048e-68	2.1611998057736191e-69	7.416027880827253e-68	2333861380974.7876	2.966411152330901e-69	8.516823901406628e-68	2680287441130.639	3.4067295605626515e-69
17.0	2.616966504587635e-63	1.046786601835054e-64	4.335077529007745e-63	2816678878637.249	1.734031011603098e-64	5.100258503891053e-63	3313848554581.243	2.0401034015564212e-64
18.0	3.838430575445779e-59	1.5353722301783117e-60	7.572868132730595e-59	3354635485946.5464	3.029147253092238e-60	9.13756033777401e-59	4047764153133.563	3.655024135109604e-60
19.0	2.0582379584795504e-55	8.232951833918201e-57	4.7796937748432724e-55	3948599827023.1807	1.911877509937309e-56	5.920467295775917e-55	4891015458571.661	2.368186918310367e-56
20.0	4.691091683129147e-52	1.876436673251659e-53	1.268859379552679e-51	4599156688228.503	5.075437518210716e-53	1.614736660812942e-51	5852836833600.662	6.458946643251768e-53
21.0	5.134349902508028e-49	2.0537399610032113e-50	1.6023819988491057e-48	5306635127559.064	6.409527995396423e-50	2.0964079289731962e-48	6942709020428.858	8.385631715892785e-50
22.0	2.9819670890949426e-46	1.192786835637977e-47	1.0647166346271543e-45	6071134098770.779	4.258866538508617e-47	1.4328641890737995e-45	8170352894166.781	5.731456756295198e-47
23.0	9.980805194070489e-44	3.992322077628196e-45	4.045820345490795e-43	6892545587894.623	1.6183281381963181e-44	5.603195878682241e-43	9545723668813.975	2.2412783514728967e-44
24.0	2.0622829510257873e-41	8.24913180410315e-43	9.424597205328275e-41	7770575401337.995	3.76983888213131e-42	1.3437249999479995e-40	11079005503657.625	5.374899999791998e-42
25.0	2.7870991766753382e-39	1.1148396706701353e-40	1.4268249106021355e-38	8704761816785.685	5.707299642408543e-40	2.0949094371627342e-38	12780606465962.598	8.379637748650937e-40
