T	ads_TPD_HH	ads_rate_HH	ads_TPD_full	ads_pre_full	ads_rate_full	ads_TPD_Tait	ads_pre_Tait	ads_rate_Tait
1.0	0.0	0.0	0.0	163591762.76432058	0.0	0.0	163591762.76432124	0.0
2.0	0.0	0.0	0.0	1850829397.4777408	0.0	0.0	1850829516.7506	0.0
3.0	0.0	0.0	0.0	7650308865.462155	0.0	0.0	7650429609.804089	0.0
4.0	0.0	0.0	0.0	20934652340.285614	0.0	0.0	20939745633.83312	0.0
5.0	0.0	0.0	0.0	45668384730.668205	0.0	0.0	45725287762.50517	0.0
6.0	0.0	0.0	0.0	86236155767.3049	0.0	0.0	86554730497.3252	0.0
7.0	0.0	0.0	0.0	147274577069.15985	0.0	0.0	148458330438.88312	0.0
8.0	0.0	0.0	0.0	233534409612.22394	0.0	0.0	236906178144.0768	0.0
9.0	4.115987244151444e-309	1.6463948976606e-310	5.6165205760987e-310	349783513953.62964	2.2466082304395e-311	5.74484390755546e-310	357775185165.5705	2.297937563022e-311
10.0	4.79090273289417e-277	1.916361093157668e-278	9.358962109829273e-278	500744672686.5508	3.743584843931709e-279	9.668804599839521e-278	517322576777.17847	3.867521839935809e-279
11.0	8.184656519862014e-251	3.2738626079448056e-252	2.2065246191225502e-251	691057717431.7528	8.826098476490201e-253	2.3058459333264597e-251	722163992019.0582	9.223383733305838e-253
12.0	5.960489901841857e-229	2.384195960736743e-230	2.1514849243008757e-229	925256943814.4353	8.605939697203503e-231	2.277045703071331e-229	979254990054.9233	9.108182812285323e-231
13.0	1.8863338383887437e-210	7.545335353554975e-212	8.887762189654611e-211	1207757859818.607	3.5551048758618446e-212	9.536208070803209e-211	1295875160091.9907	3.814483228321284e-212
14.0	1.3623406596746054e-194	5.4493626386984215e-196	8.199802103261979e-195	1542849822502.1736	3.2799208413047917e-196	8.92666574708869e-195	1679614274831.4805	3.570666298835476e-196
15.0	7.577111633677207e-181	3.030844653470883e-182	5.718862622882345e-181	1934692645320.998	2.287545049152938e-182	6.320894216937278e-181	2138360083074.8914	2.5283576867749113e-182
16.0	8.080760984651714e-169	3.2323043938606854e-170	7.525860654450842e-169	2387316028441.6533	3.0103442617803366e-170	8.449434241427579e-169	2680287441130.639	3.3797736965710316e-170
17.0	3.3197387799904332e-158	1.3278955119961733e-159	3.761727949117742e-158	2904621009960.378	1.5046911796470967e-159	4.291711959723702e-158	3313848554581.243	1.716684783889481e-159
18.0	9.03884517833553e-149	3.6155380713342125e-150	1.2307787937775137e-148	3490382796614.079	4.923115175110055e-150	1.4273226096353636e-148	4047764153133.563	5.709290438541454e-150
19.0	2.503396481921166e-140	1.0013585927684664e-141	4.051249788657093e-140	4148254434466.3813	1.6204999154628372e-141	4.776641755197912e-140	4891015458571.661	1.9106567020791648e-141
20.0	9.935744954374853e-133	3.974297981749941e-134	1.8922208533424267e-132	4881770872415.841	7.568883413369707e-134	2.268615262204885e-132	5852836833600.662	9.07446104881954e-134
21.0	7.45805360573482e-126	2.9832214422939283e-127	1.6567763607474352e-125	5694353064828.427	6.627105442989741e-127	2.0199864767150842e-125	6942709020428.858	8.079945906860337e-127
22.0	1.3286196135704295e-119	5.314478454281718e-121	3.4153460889932256e-119	6589311850569.168	1.3661384355972903e-120	4.234825037211841e-119	8170352894166.781	1.6939300148847365e-120
23.0	6.776085897438077e-114	2.7104343589752308e-115	2.0010606700929928e-113	7569851428304.552	8.004242680371971e-115	2.5233747824714817e-113	9545723668813.975	1.0093499129885927e-114
24.0	1.1567554084814637e-108	4.6270216339258554e-110	3.898545847564918e-108	8639072318185.778	1.559418339025967e-109	4.9996121470717945e-108	11079005503657.625	1.9998448588287177e-109
25.0	7.537238720298403e-104	3.014895488119361e-105	2.8815833154870065e-103	9799973756475.922	1.1526333261948025e-104	3.758008263010562e-103	12780606465962.598	1.5032033052042247e-104
26.0	2.094811485830977e-99	8.379245943323909e-101	9.034738469803497e-99	11055455512827.828	3.6138953879213987e-100	1.1981386945703301e-98	14661153812355.996	4.79255477828132e-100
27.0	2.7299039277803784e-95	1.0919615711121514e-96	1.3214608965320917e-94	12408319151302.725	5.285843586128366e-96	1.781869802044508e-94	16731489556641.545	7.127479208178032e-96
