mol_iso_cry	NH3_cry_complex	NH3_cry_ref	NH3_cry_frg_complex	NH3_cry_frg_ref	cry_mol_full_complex	cry_mol_frag_complex	cry_mol_only_complex
1102.6125	23.0104	30.7915	33.8456	45.7166	23.01	33.85	50.2070
1723.7985	32.291	31.3198	53.8459	55.7333	179.76	53.85	140.6287
1723.7985	32.5759	49.7639	60.8243	78.763	183.49	87.64	189.8129
3425.0693	50.5096	49.7987	79.3863	85.6813	351.17	177.68	195.9781
3562.9618	50.6872	51.1249	87.6352	88.8604	364.56	188.65	416.3765
3562.9618	52.3279	52.5961	90.4443	99.8009	465.29	200.42	534.2321
	53.5449	54.7934	104.5847	107.1383	1237.84	418.32	1236.5919
	57.4848	64.0422	113.0284	112.0764	1705.07	521.93	1706.1931
	63.3607	65.8587	119.286	139.4961	3338.19	1705.71	1742.0622
	64.0677	67.8564	139.1525	158.0576	3355.92	3343.77	3352.7718
	69.6374	72.2186	143.5493	163.6278	3502.70	3502.68	3501.1343
	70.0167	74.5819	163.6764	182.4609	3559.32	3559.32	3559.3131
	74.1553	79.2714	167.6927	195.5461			
	75.7518	81.3075	177.6844	229.6078			
	80.099	83.4714	188.6512	237.3344			
	84.2678	84.8707	200.4202	245.8334			
	85.3659	85.174	207.8184	258.6282			
	85.8955	85.8353	228.5481	274.1871			
	87.4966	90.9533	243.6704	285.0514			
	90.9222	91.04	257.807	305.1553			
	92.6932	104.1038	259.9672	348.6248			
	105.607	107.4481	277.958	350.8577			
	108.0481	114.5852	285.383	366.21			
	113.5575	120.6193	298.3855	377.0597			
	119.8696	124.0383	334.2781	517.2473			
	122.9147	124.7131	336.8215	588.6995			
	124.7175	125.6961	360.9188	607.6029			
	125.9844	140.0635	365.6088	655.3467			
	136.6541	144.0566	418.3191	664.5795			
	142.2808	144.5353	513.9659	688.7662			
	145.085	152.4317	521.9299	729.7944			
	150.7826	158.0656	600.5258	735.9792			
	156.3005	169.838	644.8412	758.2146			
	168.5248	183.4809	667.8452	804.3272			
	179.7612	185.127	695.1973	807.6563			
	183.4937	195.4927	707.4012	832.1741			
	185.3019	197.5373	738.6393	894.492			
	187.2952	201.0228	756.2658	910.5729			
	199.0554	208.9658	771.6836	947.4354			
	201.1367	211.3456	790.359	949.86			
	202.9164	222.4752	814.9885	983.5868			
	209.0736	225.3694	829.5534	1021.419			
	214.199	226.9162	841.3278	1061.208			
	224.5041	230.5614	920.0282	1095.934			
	225.9315	245.0203	936.4528	1167.456			
	229.5439	254.4367	951.6431	1196.362			
	234.1245	265.6198	969.5063	1449.955			
	248.9394	266.6881	1010.3823	1698.884			
	255.5226	269.4775	1039.1208	1706.093			
	257.5191	271.3396	1100.8654	1711.318			
	268.2555	277.6549	1113.4289	1732.413			
	269.6486	285.7642	1180.868	1745.595			
	270.3387	287.6426	1238.5742	1759.938			
	272.5025	295.3615	1362.6339	1774.731			
	279.7984	296.4176	1702.408	2972.851			
	282.5642	302.4629	1705.7098	2979.618			
	290.8986	305.7732	1708.5449	3063.168			
	293.6142	307.3132	1714.1814	3114.629			
	299.7318	311.5855	1732.013	3139.976			
	301.6412	326.0561	1733.2739	3149.789			
	309.2978	330.6387	1751.0059	3293.349			
	312.6769	338.6195	1762.0549	3334.101			
	315.0863	345.4107	1774.6407	3366.969			
	329.9388	348.6196	2982.554	3378.099			
	333.5633	350.1671	3086.5635	3408.027			
	337.0926	351.823	3120.4154	3414.772			
	341.9853	353.3672	3167.9296	3583.357			
	346.8669	354.989	3193.0424	3587.309			
	348.9533	358.6145	3231.5056	3801.736			
	351.1703	362.0316	3270.5389				
	353.0804	365.77	3306.295				
	355.9141	385.4133	3334.4552				
	357.9498	389.9053	3343.7745				
	363.0083	495.5738	3374.5897				
	364.5606	502.4674	3397.0198				
	368.3611	528.2798	3426.4436				
	384.1255	533.8312	3454.9901				
	465.2856	588.7147	3502.6794				
	498.2062	589.3365	3559.317				
	508.9976	608.8195	3565.7322				
	529.6248	609.9644	3806.6088				
	591.3533	632.7636					
	599.3534	640.6943					
	612.0005	645.1054					
	635.5687	656.1262					
	638.8762	665.025					
	643.3523	666.8211					
	651.8096	669.5401					
	655.432	674.887					
	660.509	690.0483					
	666.157	693.9767					
	671.8232	698.0475					
	677.0615	699.2332					
	691.064	701.9582					
	696.2348	712.7717					
	697.665	720.8963					
	700.8245	730.2607					
	706.5257	732.9033					
	716.1006	734.9178					
	726.3253	748.4164					
	730.6398	756.4005					
	735.4638	760.3152					
	740.7842	776.1089					
	743.5232	797.1364					
	759.0456	800.7659					
	759.9771	820.005					
	768.3487	823.734					
	799.6156	823.793					
	802.0032	830.7152					
	807.8262	832.6082					
	816.9838	840.8061					
	823.5425	866.9931					
	829.0931	895.0989					
	830.8196	907.6072					
