mol_iso_xtb	mol_def_xtb	mol_iso_cry	5A_complex	5A_ref	7_5A_complex	7_5A_ref	10A_complex	10A_ref	all_complex	all_ref	cry_des_all_complex	cry_des_all_ref	cry_des_all_opt_ref	cry_des_frag_complex	cry_des_frag_ref	cry_des_frag_opt_ref	cry_ads_all_complex	cry_ads_all_ref	cry_ads_frag_complex	cry_ads_frag_ref	cry_ads_mol_full_complex	cry_ads_mol_frag_complex	cry_ads_mol_only_complex
1539.36	1564.110785	1710.9410	"  64.16"	"  72.19"	"  40.82"	"  41.17"	"  27.75"	"  27.15"	"  11.54"	"   6.78"	30.7915	31.7351	31.1554	41.8079	42.194	43.6359	29.7141	30.7915	36.1467	45.7166	29.71	36.13	54.7591
3643.12	3501.552792	3737.0964	"  79.62"	"  74.43"	"  51.62"	"  53.97"	"  32.11"	"  34.83"	"  12.91"	"  12.17"	31.3198	34.0398	34.504	47.1376	46.87	49.6999	32.3969	31.3198	48.2011	55.7333	35.73	48.18	152.936
3651.33	3575.039511	3849.8593	"  88.23"	"  92.68"	"  57.54"	"  58.41"	"  36.31"	"  35.53"	"  13.87"	"  14.42"	49.7639	46.2919	45.7061	70.522	68.5294	77.0299	35.73	49.7639	49.4318	78.763	225.81	222.46	169.4903
			" 104.83"	" 107.10"	"  63.32"	"  60.11"	"  40.33"	"  37.57"	"  14.97"	"  15.14"	49.7987	50.6007	50.7432	76.5573	78.8482	84.0708	50.7326	49.7987	70.9511	85.6813	254.06	248.04	264.3797
			" 112.12"	" 139.15"	"  67.11"	"  63.14"	"  44.55"	"  42.63"	"  15.22"	"  16.04"	51.1249	52.6102	52.898	86.0213	83.3055	89.2305	51.3357	51.1249	83.4719	88.8604	449.07	258.09	470.6009
			" 126.11"	" 147.11"	"  70.53"	"  67.82"	"  46.85"	"  43.07"	"  16.37"	"  17.38"	52.5961	54.5125	54.1542	96.2359	88.5984	91.3834	54.6955	52.5961	92.3874	99.8009	1718.60	1715.62	780.616
			" 137.60"	" 164.47"	"  74.28"	"  70.57"	"  47.60"	"  47.03"	"  18.24"	"  19.25"	54.7934	56.3852	54.3496	97.2371	91.6181	103.0527	56.3927	54.7934	94.3174	107.1383	1731.82	1745.20	1730.5244
			" 149.10"	" 178.08"	"  82.06"	"  82.45"	"  48.89"	"  49.45"	"  19.63"	"  19.29"	64.0422	61.6248	63.3926	103.3973	108.5863	121.6458	58.0701	64.0422	113.2666	112.0764	3456.15	3455.64	3413.3278
			" 165.42"	" 191.45"	"  83.94"	"  85.87"	"  53.51"	"  51.31"	"  20.54"	"  20.80"	65.8587	63.0074	67.0421	131.0888	128.0849	131.5445	63.7947	65.8587	114.3028	139.4961	3817.29	3817.26	3817.1474
			" 170.77"	" 195.51"	"  88.23"	"  87.94"	"  55.00"	"  52.65"	"  20.92"	"  21.27"	67.8564	67.1346	68.6798	140.9921	131.99	138.5702	64.1294	67.8564	136.9893	158.0576			
