mol_iso_cry	CH3OH_cry_complex	CH3OH_cry_ref	CH3OH_cry_frg_complex	CH3OH_cry_frg_ref	cry_mol_full_complex	cry_mol_frag_complex	cry_mol_only_complex
323.2806	27.1813	30.7915	32.7768	45.7166	27.18	32.78	35.1507
1027.9004	31.0033	31.3198	48.3262	55.7333	46.36	65.73	79.9894
1079.2564	34.0936	49.7639	60.0395	78.763	101.69	74.70	91.0161
1163.6683	46.3647	49.7987	65.7275	85.6813	105.21	104.24	111.4923
1382.4851	50.3664	51.1249	74.701	88.8604	116.93	109.47	151.6167
1477.2795	51.1775	52.5961	80.9034	99.8009	131.95	129.28	209.2776
1496.6814	52.346	54.7934	93.827	107.1383	135.75	140.11	779.7034
1514.7186	56.8094	64.0422	104.2396	112.0764	1140.01	1038.02	1037.2817
2944.7848	60.7038	65.8587	106.4707	139.4961	1167.95	1136.71	1133.6566
2990.0936	62.2773	67.8564	109.4694	158.0576	1473.96	1167.66	1167.6057
3076.5534	66.6733	72.2186	118.11	163.6278	1478.22	1473.86	1473.4210
3767.6575	70.0453	74.5819	129.2775	182.4609	1498.94	1477.95	1476.4915
	72.7307	79.2714	140.1057	195.5461	1522.44	1498.94	1498.9066
	74.9095	81.3075	147.5172	229.6078	2967.41	1522.56	1521.9831
	80.0431	83.4714	164.9065	237.3344	3022.97	2967.78	2967.9279
	83.2713	84.8707	169.0159	245.8334	3071.15	3022.96	3022.9523
	84.3169	85.174	192.5382	258.6282	3072.37	3071.93	3072.0903
	85.0495	85.8353	201.23	274.1871	3452.91	3437.03	3440.0033
	85.8723	90.9533	223.1004	285.0514			
	88.3771	91.04	229.6139	305.1553			
	90.6486	104.1038	245.2623	348.6248			
	91.9461	107.4481	258.7814	350.8577			
	101.6918	114.5852	260.1864	366.21			
	105.2054	120.6193	276.4486	377.0597			
	109.8819	124.0383	282.6497	517.2473			
	116.9324	124.7131	296.2118	588.6995			
	119.8485	125.6961	326.9301	607.6029			
	123.0432	140.0635	342.1865	655.3467			
	124.9341	144.0566	357.1619	664.5795			
	126.7921	144.5353	376.0349	688.7662			
	131.9532	152.4317	514.3423	729.7944			
	135.7525	158.0656	597.1704	735.9792			
	144.2802	169.838	638.9326	758.2146			
	148.2202	183.4809	658.4164	804.3272			
	150.8381	185.127	687.5313	807.6563			
	156.3484	195.4927	699.4526	832.1741			
	169.6012	197.5373	719.9717	894.492			
	185.0579	201.0228	749.272	910.5729			
	186.2954	208.9658	762.9968	947.4354			
	188.235	211.3456	798.5533	949.86			
	198.88	222.4752	804.0273	983.5868			
	203.1797	225.3694	809.1385	1021.419			
	208.5666	226.9162	827.9279	1061.208			
	208.8789	230.5614	855.1143	1095.934			
	217.3033	245.0203	915.0385	1167.456			
	225.5166	254.4367	933.7899	1196.362			
	226.019	265.6198	949.3821	1449.955			
	232.6434	266.6881	951.7558	1698.884			
	233.0691	269.4775	1016.257	1706.093			
	244.2608	271.3396	1034.521	1711.318			
	248.9619	277.6549	1038.021	1732.413			
	257.0564	285.7642	1087.584	1745.595			
	268.3732	287.6426	1105.686	1759.938			
	270.087	295.3615	1136.713	1774.731			
	270.7058	296.4176	1167.662	2972.851			
	272.8394	302.4629	1178.351	2979.618			
	277.7875	305.7732	1387.244	3063.168			
	281.6463	307.3132	1473.862	3114.629			
	290.1767	311.5855	1477.946	3139.976			
	291.964	326.0561	1498.936	3149.789			
	300.0161	330.6387	1522.558	3293.349			
	301.4919	338.6195	1697.269	3334.101			
	306.0522	345.4107	1707.64	3366.969			
	312.3173	348.6196	1711.315	3378.099			
	312.9081	350.1671	1732.441	3408.027			
	327.9587	351.823	1737.966	3414.772			
	333.784	353.3672	1756.734	3583.357			
	339.553	354.989	1771.467	3587.309			
	345.8992	358.6145	2967.783	3801.736			
	347.0242	362.0316	3013.787				
	349.6759	365.77	3022.964				
	351.1449	385.4133	3071.93				
	352.8083	389.9053	3074.06				
	358.458	495.5738	3142.372				
	359.0892	502.4674	3177.007				
	362.1008	528.2798	3226.255				
	374.7244	533.8312	3232.534				
	383.2417	588.7147	3281.04				
	497.973	589.3365	3303.376				
	509.5364	608.8195	3335.952				
	529.6466	609.9644	3343.868				
	591.2511	632.7636	3397.165				
	595.2029	640.6943	3428.508				
	611.9604	645.1054	3437.028				
	614.4682	656.1262	3513.856				
	632.717	665.025	3561.013				
	635.5601	666.8211	3800.437				
	643.6844	669.5401					
	653.7681	674.887					
	657.1598	690.0483					
	662.839	693.9767					
	666.3926	698.0475					
	673.5119	699.2332					
	679.4722	701.9582					
	691.8151	712.7717					
	697.9273	720.8963					
	700.4262	730.2607					
	700.8541	732.9033					
	707.0931	734.9178					
	713.5281	748.4164					
	720.4868	756.4005					
	731.1844	760.3152					
	731.9398	776.1089					
	734.8935	797.1364					
	747.5405	800.7659					
	758.6586	820.005					
	759.4121	823.734					
	766.1428	823.793					
	788.4846	830.7152					
	799.2568	832.6082					
	803.326	840.8061					
	816.9807	866.9931					
	823.3771	895.0989					
	826.1864	907.6072					
	829.2768	909.3011					
	840.1911	931.4774					
	841.6889	938.6257					
	872.2822	952.9472					
	891.3638	954.1219					
	906.3887	955.2435					
	910.529	970.6076					
	920.9622	988.7986					
	926.7673	993.0225					
	938.4635	1001.0834					
	944.3712	1001.738					
	948.5116	1011.2318					
	960.6369	1027.8275					
	965.5507	1044.1522					
	978.5845	1053.442					
	988.9186	1092.2723					
	995.2266	1099.698					
	1002.357	1103.8824					
	1008.579	1108.442					
	1030.148	1109.2052					
	1042.462	1114.3055					
	1050.44	1134.7233					
	1051.511	1180.3247					
	1079.943	1182.3131					
	1092.062	1186.3824					
	1099.074	1205.7712					
	1105.266	1208.5277					
	1109.526	1692.1879					
	1117.101	1692.8217					
	1124.98	1700.0787					
	1140.008	1700.9023					
	1148.99	1701.0783					
	1167.955	1702.8667					
	1178.922	1705.9835					
	1183.611	1712.0132					
	1191.626	1712.4541					
	1206.4	1719.6006					
	1473.958	1727.0814					
	1478.223	1727.4254					
	1498.943	1732.8527					
	1522.445	1736.2717					
	1691.733	1738.4028					
	1692.483	1747.2049					
	1698.715	1747.668					
	1701.478	1757.6609					
	1701.688	1761.1653					
	1703.987	1763.6119					
	1708.372	1767.8576					
	1711.278	1769.3225					
	1714.194	1779.0555					
	1722.195	1788.4547					
	1725.835	2959.3027					
	1726.674	2959.8959					
	1735.196	2966.5065					
	1737.025	2969.0291					
	1738.054	3058.8381					
	1746.492	3061.1707					
	1751.734	3085.3889					
	1760.216	3092.7056					
	1761.527	3103.1582					
	1764.373	3105.8394					
	1768.536	3111.7298					
	1769.604	3122.6319					
	1779.359	3129.1106					
	1788.379	3132.629					
	2967.408	3143.6733					
	2970.269	3204.7154					
	2976.467	3207.1688					
	3013.297	3219.1955					
	3022.965	3223.1137					
	3061.969	3224.0786					
	3071.15	3256.9936					
	3072.374	3267.6055					
	3093.652	3276.7737					
	3107.583	3326.1475					
	3111.348	3344.8747					
	3124.4	3353.4468					
	3132	3353.6229					
	3133.909	3354.8572					
	3139.075	3364.2163					
	3150.885	3370.2144					
	3167.65	3379.7245					
	3181.319	3383.0712					
	3205.249	3392.7146					
	3214.77	3392.9419					
	3223.166	3396.77					
	3229.465	3398.6146					
	3256.495	3407.6971					
	3268.338	3413.1911					
	3273.164	3417.1539					
	3298.911	3421.702					
	3307.115	3566.1317					
	3325.877	3566.3392					
	3326.376	3570.1026					
	3332.761	3570.3506					
	3349.105	3789.0645					
	3352.546	3811.8607					
	3360.46	3813.3818					
	3362.153	3818.8479					
	3367.141						
	3374.646						
	3379.894						
	3383.835						
	3392.587						
	3394.933						
	3408.375						
	3409.107						
	3418.575						
	3431.066						
	3452.911						
	3515.762						
	3561.121						
	3583.998						
	3588.203						
	3800.474						
	3800.913						
	3802.563						
